"Date","CP6M"
1970-01-01,8.78
1970-02-01,8.55
1970-03-01,8.33
1970-04-01,8.06
1970-05-01,8.24
1970-06-01,8.21
1970-07-01,8.29
1970-08-01,7.9
1970-09-01,7.32
1970-10-01,6.85
1970-11-01,6.29
1970-12-01,5.73
1971-01-01,5.11
1971-02-01,4.47
1971-03-01,4.19
1971-04-01,4.57
1971-05-01,5.1
1971-06-01,5.46
1971-07-01,5.75
1971-08-01,5.74
1971-09-01,5.75
1971-10-01,5.54
1971-11-01,4.92
1971-12-01,4.74
1972-01-01,4.08
1972-02-01,3.94
1972-03-01,4.16
1972-04-01,4.58
1972-05-01,4.51
1972-06-01,4.64
1972-07-01,4.85
1972-08-01,4.81
1972-09-01,5.15
1972-10-01,5.3
1972-11-01,5.25
1972-12-01,5.45
1973-01-01,5.78
1973-02-01,6.22
1973-03-01,6.85
1973-04-01,7.14
1973-05-01,7.27
1973-06-01,7.99
1973-07-01,9.19
1973-08-01,10.21
1973-09-01,10.23
1973-10-01,8.92
1973-11-01,8.94
1973-12-01,9.08
1974-01-01,8.67
1974-02-01,7.83
1974-03-01,8.42
1974-04-01,9.79
1974-05-01,10.62
1974-06-01,10.97
1974-07-01,11.72
1974-08-01,11.65
1974-09-01,11.23
1974-10-01,9.37
1974-11-01,8.81
1974-12-01,8.98
1975-01-01,7.3
1975-02-01,6.34
1975-03-01,6.06
1975-04-01,6.15
1975-05-01,5.82
1975-06-01,5.79
1975-07-01,6.45
1975-08-01,6.7
1975-09-01,6.86
1975-10-01,6.49
1975-11-01,5.92
1975-12-01,5.97
1976-01-01,5.27
1976-02-01,5.23
1976-03-01,5.37
1976-04-01,5.23
1976-05-01,5.55
1976-06-01,5.94
1976-07-01,5.67
1976-08-01,5.47
1976-09-01,5.45
1976-10-01,5.22
1976-11-01,5.05
1976-12-01,4.7
1977-01-01,4.75
1977-02-01,4.82
1977-03-01,4.87
1977-04-01,4.87
1977-05-01,5.35
1977-06-01,5.49
1977-07-01,5.41
1977-08-01,5.84
1977-09-01,6.17
1977-10-01,6.56
1977-11-01,6.59
1977-12-01,6.64
1978-01-01,6.79
1978-02-01,6.8
1978-03-01,6.8
1978-04-01,6.86
1978-05-01,7.11
1978-06-01,7.63
1978-07-01,7.91
1978-08-01,7.9
1978-09-01,8.44
1978-10-01,9.03
1978-11-01,10.23
1978-12-01,10.43
1979-01-01,10.32
1979-02-01,10.01
1979-03-01,9.96
1979-04-01,9.87
1979-05-01,9.98
1979-06-01,9.71
1979-07-01,9.82
1979-08-01,10.39
1979-09-01,11.6
1979-10-01,13.23
1979-11-01,13.26
1979-12-01,12.8
1980-01-01,12.66
1980-02-01,13.6
1980-03-01,16.5
1980-04-01,14.93
1980-05-01,9.29
1980-06-01,8.03
1980-07-01,8.29
1980-08-01,9.61
1980-09-01,11.04
1980-10-01,12.32
1980-11-01,14.73
1980-12-01,16.49
1981-01-01,15.1
1981-02-01,14.87
1981-03-01,13.59
1981-04-01,14.17
1981-05-01,16.66
1981-06-01,15.22
1981-07-01,16.09
1981-08-01,16.62
1981-09-01,15.93
1981-10-01,14.72
1981-11-01,11.96
1981-12-01,12.14
1982-01-01,13.35
1982-02-01,14.27
1982-03-01,13.47
1982-04-01,13.64
1982-05-01,13.02
1982-06-01,13.79
1982-07-01,13
1982-08-01,10.8
1982-09-01,10.86
1982-10-01,9.21
1982-11-01,8.72
1982-12-01,8.5
1983-01-01,8.15
1983-02-01,8.39
1983-03-01,8.48
1983-04-01,8.48
1983-05-01,8.31
1983-06-01,9.03
1983-07-01,9.36
1983-08-01,9.68
1983-09-01,9.28
1983-10-01,8.98
1983-11-01,9.09
1983-12-01,9.5
1984-01-01,9.18
1984-02-01,9.31
1984-03-01,9.86
1984-04-01,10.22
1984-05-01,10.87
1984-06-01,11.23
1984-07-01,11.34
1984-08-01,11.16
1984-09-01,10.94
1984-10-01,10.16
1984-11-01,9.06
1984-12-01,8.55
1985-01-01,8.15
1985-02-01,8.69
1985-03-01,9.23
1985-04-01,8.47
1985-05-01,7.88
1985-06-01,7.38
1985-07-01,7.57
1985-08-01,7.74
1985-09-01,7.86
1985-10-01,7.79
1985-11-01,7.69
1985-12-01,7.62
1986-01-01,7.62
1986-02-01,7.54
1986-03-01,7.08
1986-04-01,6.47
