"Date","CPN3M"
1997-01-01,5.3
1997-02-01,5.27
1997-03-01,5.39
1997-04-01,5.57
1997-05-01,5.57
1997-06-01,5.54
1997-07-01,5.49
1997-08-01,5.48
1997-09-01,5.48
1997-10-01,5.51
1997-11-01,5.6
1997-12-01,5.67
1998-01-01,5.42
1998-02-01,5.42
1998-03-01,5.46
1998-04-01,5.46
1998-05-01,5.48
1998-06-01,5.48
1998-07-01,5.48
1998-08-01,5.48
1998-09-01,5.31
1998-10-01,5.04
1998-11-01,5.06
1998-12-01,5
1999-01-01,4.77
1999-02-01,4.79
1999-03-01,4.81
1999-04-01,4.79
1999-05-01,4.81
1999-06-01,4.98
1999-07-01,5.11
1999-08-01,5.25
1999-09-01,5.32
1999-10-01,5.88
1999-11-01,5.81
1999-12-01,5.87
2000-01-01,5.74
2000-02-01,5.87
2000-03-01,6
2000-04-01,6.11
2000-05-01,6.54
2000-06-01,6.57
2000-07-01,6.52
2000-08-01,6.49
2000-09-01,6.47
2000-10-01,6.51
2000-11-01,6.5
2000-12-01,6.34
2001-01-01,5.49
2001-02-01,5.14
2001-03-01,4.78
2001-04-01,4.44
2001-05-01,3.93
2001-06-01,3.67
2001-07-01,3.59
2001-08-01,3.42
2001-09-01,2.81
2001-10-01,2.28
2001-11-01,1.97
2001-12-01,1.78
2002-01-01,1.7
2002-02-01,1.79
2002-03-01,1.86
2002-04-01,1.81
2002-05-01,1.78
2002-06-01,1.76
2002-07-01,1.75
2002-08-01,1.7
2002-09-01,1.72
2002-10-01,1.7
2002-11-01,1.36
2002-12-01,1.31
2003-01-01,1.26
2003-02-01,1.26
2003-03-01,1.19
2003-04-01,1.2
2003-05-01,1.19
2003-06-01,1.01
2003-07-01,1.01
2003-08-01,1.04
2003-09-01,1.04
2003-10-01,1.05
2003-11-01,1.06
2003-12-01,1.05
2004-01-01,1.01
2004-02-01,1.01
2004-03-01,1
2004-04-01,1.05
2004-05-01,1.07
2004-06-01,1.34
2004-07-01,1.5
2004-08-01,1.62
2004-09-01,1.75
2004-10-01,1.95
2004-11-01,2.18
2004-12-01,2.34
2005-01-01,2.53
2005-02-01,NA
2005-03-01,2.82
2005-04-01,2.97
2005-05-01,3.09
2005-06-01,3.27
2005-07-01,3.47
2005-08-01,3.64
2005-09-01,3.72
2005-10-01,4.01
2005-11-01,4.23
2005-12-01,NA
2006-01-01,NA
2006-02-01,4.55
2006-03-01,4.76
2006-04-01,4.87
2006-05-01,5.01
2006-06-01,5.29
2006-07-01,NA
2006-08-01,5.21
2006-09-01,5.21
2006-10-01,5.19
2006-11-01,5.17
2006-12-01,5.19
2007-01-01,5.17
2007-02-01,5.18
2007-03-01,5.2
2007-04-01,5.2
2007-05-01,5.19
2007-06-01,5.23
2007-07-01,5.22
2007-08-01,5.25
2007-09-01,4.92
2007-10-01,4.63
2007-11-01,4.42
2007-12-01,4.23
2008-01-01,3.25
2008-02-01,2.72
2008-03-01,2.35
2008-04-01,1.99
2008-05-01,2
2008-06-01,2.21
2008-07-01,2.18
2008-08-01,2.08
2008-09-01,2.13
2008-10-01,2.07
2008-11-01,1.45
2008-12-01,0.97
2009-01-01,0.31
2009-02-01,0.48
2009-03-01,0.37
2009-04-01,0.28
2009-05-01,0.23
2009-06-01,0.26
2009-07-01,0.28
2009-08-01,0.24
2009-09-01,0.19
2009-10-01,0.19
2009-11-01,0.15
2009-12-01,0.16
2010-01-01,0.13
2010-02-01,0.15
2010-03-01,0.2
2010-04-01,0.23
2010-05-01,0.28
2010-06-01,0.32
2010-07-01,0.27
2010-08-01,0.25
2010-09-01,0.24
2010-10-01,0.23
2010-11-01,0.23
2010-12-01,0.23
2011-01-01,0.24
2011-02-01,0.23
2011-03-01,0.23
2011-04-01,0.2
2011-05-01,0.16
2011-06-01,0.15
2011-07-01,0.14
2011-08-01,0.16
2011-09-01,0.14
2011-10-01,0.15
2011-11-01,0.14
2011-12-01,0.14
2012-01-01,0.14
2012-02-01,0.17
2012-03-01,0.18
2012-04-01,0.2
2012-05-01,0.19
2012-06-01,0.21
2012-07-01,0.22
2012-08-01,0.2
2012-09-01,0.2
2012-10-01,0.19
