"Date","EXPINF22YR"
1982-01-01,5.4509827
1982-02-01,5.3402128
1982-03-01,4.9747452
1982-04-01,5.0364359
1982-05-01,5.0528656
1982-06-01,4.9728924
1982-07-01,5.1988175
1982-08-01,5.0331041
1982-09-01,5.0851003
1982-10-01,4.8082813
1982-11-01,4.3045545
1982-12-01,4.4317538
1983-01-01,4.2994998
1983-02-01,4.4319047
1983-03-01,4.2464554
1983-04-01,4.3248648
1983-05-01,4.1583872
1983-06-01,4.3324849
1983-07-01,4.4205042
1983-08-01,4.5251213
1983-09-01,4.6074451
1983-10-01,4.4991971
1983-11-01,4.5754462
1983-12-01,4.593088
1984-01-01,4.5626599
1984-02-01,4.5507268
1984-03-01,4.6740626
1984-04-01,4.760859
1984-05-01,4.8688442
1984-06-01,5.102328
1984-07-01,5.0908313
1984-08-01,4.8617917
1984-09-01,4.8763128
1984-10-01,4.6694113
1984-11-01,4.5406506
1984-12-01,4.5615905
1985-01-01,4.6290047
1985-02-01,4.5809922
1985-03-01,4.7480624
1985-04-01,4.5481999
1985-05-01,4.5322143
1985-06-01,4.214174
1985-07-01,4.197042
1985-08-01,4.324238
1985-09-01,4.2467802
1985-10-01,4.2420224
1985-11-01,4.1510558
1985-12-01,4.0521177
1986-01-01,3.8764747
1986-02-01,3.8537179
1986-03-01,3.5535004
1986-04-01,3.4258206
1986-05-01,3.4801784
1986-06-01,3.7169197
1986-07-01,3.5059448
1986-08-01,3.4845189
1986-09-01,3.3226214
1986-10-01,3.4867665
1986-11-01,3.4340801
1986-12-01,3.3510698
1987-01-01,3.3970551
1987-02-01,3.3909677
1987-03-01,3.2930383
1987-04-01,3.4723141
1987-05-01,3.7570681
1987-06-01,3.6839732
1987-07-01,3.7405481
1987-08-01,3.8003351
1987-09-01,3.8743818
1987-10-01,3.9460104
1987-11-01,3.9167999
1987-12-01,3.9836016
1988-01-01,3.9696143
1988-02-01,3.6477663
1988-03-01,3.6233686
1988-04-01,3.7792829
1988-05-01,3.8012683
1988-06-01,3.8691524
1988-07-01,3.8143741
1988-08-01,3.8123364
1988-09-01,3.8769429
1988-10-01,3.7810708
1988-11-01,3.7480577
1988-12-01,3.8362633
1989-01-01,3.9747619
1989-02-01,3.8947813
1989-03-01,4.0025013
1989-04-01,3.9380622
1989-05-01,3.7886216
1989-06-01,3.698696
1989-07-01,3.5236109
1989-08-01,3.3984678
1989-09-01,3.5840609
1989-10-01,3.5973586
1989-11-01,3.4963896
1989-12-01,3.4922069
1990-01-01,3.572455
1990-02-01,3.7118528
1990-03-01,3.7136407
1990-04-01,3.7063333
