"Date","GASLIND"
1982-01-01,1.04
1982-02-01,1.47
1982-03-01,1.87
1982-04-01,1.93
1982-05-01,1.9
1982-06-01,1.79
1982-07-01,1.58
1982-08-01,1.3
1982-09-01,1.36
1982-10-01,1.6
1982-11-01,1.7
1982-12-01,1.93
1983-01-01,2.14
1983-02-01,2.19
1983-03-01,2.28
1983-04-01,2.45
1983-05-01,2.64
1983-06-01,2.55
1983-07-01,2.48
1983-08-01,2.18
1983-09-01,2.68
1983-10-01,2.44
1983-11-01,2.41
1983-12-01,2.49
1984-01-01,2.7
1984-02-01,2.71
1984-03-01,2.69
1984-04-01,2.5
1984-05-01,2.23
1984-06-01,2.36
1984-07-01,2.37
1984-08-01,2.33
1984-09-01,2.12
1984-10-01,1.86
1984-11-01,1.94
1984-12-01,2.1
1985-01-01,1.9
1985-02-01,1.75
1985-03-01,1.8
1985-04-01,1.88
1985-05-01,2
1985-06-01,1.94
1985-07-01,2.08
1985-08-01,2.3
1985-09-01,2.33
1985-10-01,2.31
1985-11-01,2.4
1985-12-01,2.36
1986-01-01,2.22
1986-02-01,1.97
1986-03-01,1.84
1986-04-01,1.95
1986-05-01,1.73
1986-06-01,1.74
1986-07-01,1.66
1986-08-01,1.86
1986-09-01,1.79
1986-10-01,1.97
1986-11-01,1.73
1986-12-01,1.74
1987-01-01,1.83
1987-02-01,2.03
1987-03-01,2.05
1987-04-01,1.99
1987-05-01,2.09
1987-06-01,2.07
1987-07-01,2.14
1987-08-01,1.9
1987-09-01,1.87
1987-10-01,1.75
1987-11-01,1.74
1987-12-01,1.68
1988-01-01,1.55
1988-02-01,1.81
1988-03-01,1.87
1988-04-01,1.8
1988-05-01,1.77
1988-06-01,1.93
1988-07-01,1.9
1988-08-01,1.7
1988-09-01,1.6
1988-10-01,1.69
1988-11-01,1.76
1988-12-01,1.76
1989-01-01,1.83
1989-02-01,1.83
1989-03-01,1.37
1989-04-01,1.22
1989-05-01,1.26
1989-06-01,1.28
1989-07-01,1.47
1989-08-01,1.7
1989-09-01,1.86
1989-10-01,1.84
1989-11-01,1.67
1989-12-01,1.83
1990-01-01,2.48
1990-02-01,2.24
1990-03-01,2.06
1990-04-01,1.63
1990-05-01,1.43
1990-06-01,1.5
1990-07-01,1.2
1990-08-01,1.24
1990-09-01,0.97
1990-10-01,0.88
1990-11-01,0.92
1990-12-01,1.03
1991-01-01,0.94
1991-02-01,1.02
1991-03-01,1.1
1991-04-01,1.41
1991-05-01,1.7
1991-06-01,1.96
1991-07-01,1.84
1991-08-01,1.68
1991-09-01,1.74
1991-10-01,1.61
1991-11-01,1.55
1991-12-01,1.59
1992-01-01,1.85
1992-02-01,0.94
1992-03-01,1.02
1992-04-01,1.2
1992-05-01,1.71
1992-06-01,1.82
1992-07-01,1.96
1992-08-01,1.93
1992-09-01,1.92
1992-10-01,2.22
1992-11-01,2.11
1992-12-01,2.03
1993-01-01,2.06
1993-02-01,2.32
1993-03-01,1.94
1993-04-01,2.13
1993-05-01,2.16
1993-06-01,2.25
1993-07-01,2.41
1993-08-01,2.19
1993-09-01,2.28
1993-10-01,2.42
1993-11-01,2.27
1993-12-01,2.29
1994-01-01,2.06
1994-02-01,2.06
1994-03-01,2.09
1994-04-01,2.18
1994-05-01,2.14
1994-06-01,2.12
1994-07-01,1.92
1994-08-01,2.22
1994-09-01,2.17
1994-10-01,2.27
1994-11-01,2.26
1994-12-01,2.27
1995-01-01,2.33
1995-02-01,1.87
1995-03-01,1.77
1995-04-01,1.59
1995-05-01,1.59
1995-06-01,1.63
1995-07-01,1.44
1995-08-01,1.85
1995-09-01,2.05
1995-10-01,1.96
1995-11-01,1.96
1995-12-01,2.1
1996-01-01,2.04
1996-02-01,2.06
1996-03-01,1.87
1996-04-01,2.03
1996-05-01,2.03
1996-06-01,1.97
1996-07-01,2.45
1996-08-01,1.46
1996-09-01,1.16
1996-10-01,1.15
1996-11-01,1.31
1996-12-01,1.52
1997-01-01,1.62
1997-02-01,1.73
1997-03-01,1.76
1997-04-01,1.87
1997-05-01,1.79
1997-06-01,1.88
1997-07-01,1.86
1997-08-01,1.78
1997-09-01,2.04
1997-10-01,2.03
1997-11-01,1.91
1997-12-01,2
1998-01-01,1.8
1998-02-01,1.78
1998-03-01,1.85
1998-04-01,1.59
1998-05-01,1.85
1998-06-01,1.81
1998-07-01,1.81
1998-08-01,1.89
1998-09-01,1.93
1998-10-01,1.91
1998-11-01,1.85
1998-12-01,1.88
1999-01-01,1.58
1999-02-01,1.7
1999-03-01,1.67
1999-04-01,1.89
1999-05-01,2.06
1999-06-01,1.89
1999-07-01,1.79
1999-08-01,1.6
1999-09-01,1.76
1999-10-01,1.73
1999-11-01,1.89
1999-12-01,1.91
2000-01-01,1.59
2000-02-01,1.66
2000-03-01,1.87
2000-04-01,1.61
2000-05-01,1.69
2000-06-01,1.41
2000-07-01,1.52
2000-08-01,1.55
2000-09-01,1.53
2000-10-01,1.66
2000-11-01,1.38
2000-12-01,1.44
2001-01-01,1.46
2001-02-01,1.4
2001-03-01,1.34
2001-04-01,0.93
2001-05-01,0.95
2001-06-01,1.16
2001-07-01,1.05
2001-08-01,1.2
2001-09-01,0.98
2001-10-01,0.81
2001-11-01,0.73
2001-12-01,0.89
2002-01-01,0.86
2002-02-01,1.08
2002-03-01,1.27
2002-04-01,1.61
2002-05-01,1.74
2002-06-01,1.76
2002-07-01,1.62
2002-08-01,1.45
2002-09-01,1.45
2002-10-01,1.37
2002-11-01,1.46
2002-12-01,1.43
2003-01-01,1.15
2003-02-01,1.22
2003-03-01,1.22
2003-04-01,1.33
2003-05-01,1.34
2003-06-01,1.51
2003-07-01,1.6
2003-08-01,1.67
2003-09-01,2
2003-10-01,1.91
2003-11-01,1.91
2003-12-01,1.98
2004-01-01,1.77
2004-02-01,1.7
2004-03-01,1.76
2004-04-01,1.58
2004-05-01,1.58
2004-06-01,1.38
2004-07-01,1.65
2004-08-01,1.72
2004-09-01,1.65
2004-10-01,1.72
2004-11-01,1.68
2004-12-01,1.62
2005-01-01,1.74
2005-02-01,1.6
2005-03-01,1.36
2005-04-01,1.78
2005-05-01,2
2005-06-01,1.81
2005-07-01,1.77
2005-08-01,1.85
2005-09-01,1.72
2005-10-01,1.76
2005-11-01,1.76
2005-12-01,1.9
2006-01-01,1.87
2006-02-01,1.75
2006-03-01,1.67
2006-04-01,1.61
2006-05-01,1.48
2006-06-01,1.44
2006-07-01,1.36
2006-08-01,1.48
2006-09-01,1.36
2006-10-01,1.64
2006-11-01,1.6
2006-12-01,1.68
2007-01-01,1.7
2007-02-01,1.62
2007-03-01,1.45
2007-04-01,1.26
2007-05-01,1.04
2007-06-01,1.04
2007-07-01,1.03
2007-08-01,1.14
2007-09-01,1.01
2007-10-01,0.98
2007-11-01,0.9
2007-12-01,0.99
2008-01-01,1
2008-02-01,1.02
2008-03-01,0.76
2008-04-01,0.76
2008-05-01,0.81
2008-06-01,0.8
2008-07-01,0.59
2008-08-01,0.34
2008-09-01,0.31
2008-10-01,-0.09
2008-11-01,-0.29
2008-12-01,-0.43
2009-01-01,-0.29
2009-02-01,-0.2
2009-03-01,-0.48
2009-04-01,-0.1
2009-05-01,0.47
2009-06-01,0.93
2009-07-01,1.01
2009-08-01,0.99
2009-09-01,1.17
2009-10-01,1.21
2009-11-01,1.34
2009-12-01,1.36
2010-01-01,1.36
2010-02-01,1.28
2010-03-01,1.58
2010-04-01,1.68
2010-05-01,1.88
2010-06-01,1.76
2010-07-01,1.7
2010-08-01,1.41
2010-09-01,1.16
2010-10-01,1.27
2010-11-01,1.52
2010-12-01,1.54
2011-01-01,1.29
2011-02-01,1.8
2011-03-01,1.97
2011-04-01,1.96
2011-05-01,1.88
2011-06-01,1.67
2011-07-01,1.58
2011-08-01,1.71
2011-09-01,1.79
2011-10-01,1.78
2011-11-01,1.86
2011-12-01,1.69
2012-01-01,1.9
2012-02-01,1.95
2012-03-01,2.02
2012-04-01,1.89
2012-05-01,1.84
2012-06-01,1.88
2012-07-01,1.75
2012-08-01,1.75
2012-09-01,1.76
2012-10-01,1.99
2012-11-01,2.02
2012-12-01,1.96
2013-01-01,2.04
2013-02-01,2.03
2013-03-01,1.88
2013-04-01,1.85
2013-05-01,1.88
2013-06-01,1.89
2013-07-01,1.89
2013-08-01,1.88
2013-09-01,2
2013-10-01,2.08
2013-11-01,2
2013-12-01,1.83
2014-01-01,1.96
2014-02-01,1.66
2014-03-01,2.11
2014-04-01,2
2014-05-01,2
2014-06-01,1.89
2014-07-01,2.1
2014-08-01,2.22
2014-09-01,2.12
2014-10-01,2.08
2014-11-01,2.12
2014-12-01,2.08
2015-01-01,1.97
2015-02-01,1.89
2015-03-01,1.91
2015-04-01,1.78
2015-05-01,1.97
2015-06-01,2.11
2015-07-01,2.11
2015-08-01,1.96
2015-09-01,2
2015-10-01,2.04
2015-11-01,1.94
2015-12-01,1.87
2016-01-01,1.81
2016-02-01,1.88
2016-03-01,1.82
2016-04-01,1.86
2016-05-01,1.89
2016-06-01,1.88
2016-07-01,1.78
2016-08-01,1.67
2016-09-01,1.77
2016-10-01,1.65
2016-11-01,1.77
2016-12-01,1.88
2017-01-01,1.77
2017-02-01,1.73
2017-03-01,1.79
2017-04-01,1.82
2017-05-01,1.79
2017-06-01,1.83
2017-07-01,1.74
2017-08-01,1.79
2017-09-01,1.57
2017-10-01,1.79
2017-11-01,1.8
2017-12-01,1.76
2018-01-01,1.67
2018-02-01,1.65
2018-03-01,1.73
2018-04-01,1.68
2018-05-01,1.68
2018-06-01,1.77
2018-07-01,1.65
2018-08-01,1.71
2018-09-01,1.71
2018-10-01,1.58
2018-11-01,1.49
2018-12-01,1.47
2019-01-01,1.74
2019-02-01,1.81
2019-03-01,1.6
2019-04-01,1.48
2019-05-01,1.49
2019-06-01,1.63
2019-07-01,1.57
2019-08-01,1.77
2019-09-01,1.7
2019-10-01,1.75
