"Date","H0RIFLGFCY20NM"
1953-04-01,3.08
1953-05-01,3.18
1953-06-01,3.21
1953-07-01,3.12
1953-08-01,3.1
1953-09-01,3.07
1953-10-01,2.95
1953-11-01,2.95
1953-12-01,2.89
1954-01-01,2.8
1954-02-01,2.72
1954-03-01,2.61
1954-04-01,2.6
1954-05-01,2.66
1954-06-01,2.64
1954-07-01,2.57
1954-08-01,2.58
1954-09-01,2.6
1954-10-01,2.61
1954-11-01,2.65
1954-12-01,2.67
1955-01-01,2.75
1955-02-01,2.83
1955-03-01,2.84
1955-04-01,2.85
1955-05-01,2.87
1955-06-01,2.86
1955-07-01,2.94
1955-08-01,3.01
1955-09-01,3
1955-10-01,2.93
1955-11-01,2.93
1955-12-01,2.98
1956-01-01,2.94
1956-02-01,2.91
1956-03-01,2.99
1956-04-01,3.14
1956-05-01,3.06
1956-06-01,3
1956-07-01,3.08
1956-08-01,3.22
1956-09-01,3.28
1956-10-01,3.26
1956-11-01,3.37
1956-12-01,3.45
1957-01-01,3.41
1957-02-01,3.3
1957-03-01,3.32
1957-04-01,3.4
1957-05-01,3.49
1957-06-01,3.65
1957-07-01,3.72
1957-08-01,3.75
1957-09-01,3.73
1957-10-01,3.76
1957-11-01,3.61
1957-12-01,3.38
1958-01-01,3.27
1958-02-01,3.31
1958-03-01,3.29
1958-04-01,3.17
1958-05-01,3.17
1958-06-01,3.23
1958-07-01,3.39
1958-08-01,3.65
1958-09-01,3.8
1958-10-01,3.81
1958-11-01,3.76
1958-12-01,3.86
1959-01-01,3.95
1959-02-01,3.96
1959-03-01,3.99
1959-04-01,4.06
1959-05-01,4.13
1959-06-01,4.14
1959-07-01,4.16
1959-08-01,4.15
1959-09-01,4.29
1959-10-01,4.19
1959-11-01,4.2
1959-12-01,4.33
1960-01-01,4.42
1960-02-01,4.28
1960-03-01,4.14
1960-04-01,4.23
1960-05-01,4.2
1960-06-01,4.04
1960-07-01,3.91
1960-08-01,3.84
1960-09-01,3.86
1960-10-01,3.92
1960-11-01,3.96
1960-12-01,3.91
1961-01-01,3.9
1961-02-01,3.84
1961-03-01,3.81
1961-04-01,3.81
1961-05-01,3.74
1961-06-01,3.89
1961-07-01,3.93
1961-08-01,4.04
1961-09-01,4.04
1961-10-01,4.01
1961-11-01,4
1961-12-01,4.07
1962-01-01,4.1
1962-02-01,4.12
1962-03-01,4.04
1962-04-01,3.93
1962-05-01,3.92
1962-06-01,3.96
1962-07-01,4.05
1962-08-01,4.01
1962-09-01,4
1962-10-01,3.94
1962-11-01,3.93
1962-12-01,3.92
1963-01-01,3.93
1963-02-01,3.97
1963-03-01,3.98
1963-04-01,4.03
1963-05-01,4.02
1963-06-01,4.02
1963-07-01,4.06
1963-08-01,4.03
1963-09-01,4.09
1963-10-01,4.12
1963-11-01,4.16
1963-12-01,4.19
1964-01-01,4.19
1964-02-01,4.17
1964-03-01,4.22
1964-04-01,4.24
1964-05-01,4.2
1964-06-01,4.17
1964-07-01,4.16
1964-08-01,4.18
1964-09-01,4.2
1964-10-01,4.2
1964-11-01,4.17
1964-12-01,4.18
1965-01-01,4.19
1965-02-01,4.21
1965-03-01,4.2
1965-04-01,4.2
1965-05-01,4.21
1965-06-01,4.21
1965-07-01,4.21
1965-08-01,4.25
1965-09-01,4.3
1965-10-01,4.32
1965-11-01,4.4
1965-12-01,4.5
1966-01-01,4.52
1966-02-01,4.71
1966-03-01,4.72
1966-04-01,4.65
1966-05-01,4.69
1966-06-01,4.73
1966-07-01,4.84
1966-08-01,4.95
1966-09-01,4.94
1966-10-01,4.83
1966-11-01,4.87
1966-12-01,4.76
1967-01-01,4.51
1967-02-01,4.61
1967-03-01,4.56
1967-04-01,4.64
1967-05-01,4.9
1967-06-01,4.99
1967-07-01,5.01
1967-08-01,5.12
1967-09-01,5.16
1967-10-01,5.36
1967-11-01,5.66
1967-12-01,5.59
1968-01-01,5.39
1968-02-01,5.38
1968-03-01,5.59
1968-04-01,5.46
1968-05-01,5.55
1968-06-01,5.4
1968-07-01,5.29
1968-08-01,5.23
1968-09-01,5.28
1968-10-01,5.44
1968-11-01,5.56
1968-12-01,5.88
1969-01-01,5.99
1969-02-01,6.11
1969-03-01,6.22
1969-04-01,6.03
1969-05-01,6.11
1969-06-01,6.28
1969-07-01,6.27
1969-08-01,6.22
1969-09-01,6.55
1969-10-01,6.49
1969-11-01,6.74
1969-12-01,6.91
1970-01-01,6.92
1970-02-01,6.67
1970-03-01,6.72
1970-04-01,6.85
1970-05-01,7.24
1970-06-01,7.34
1970-07-01,6.92
1970-08-01,7.07
1970-09-01,6.88
1970-10-01,6.88
1970-11-01,6.58
1970-12-01,6.28
1971-01-01,6.18
1971-02-01,6.14
1971-03-01,5.94
1971-04-01,6
1971-05-01,6.32
1971-06-01,6.38
1971-07-01,6.38
1971-08-01,6.27
1971-09-01,6.05
1971-10-01,5.92
1971-11-01,5.86
1971-12-01,6
1972-01-01,6.01
1972-02-01,6.06
1972-03-01,6.06
1972-04-01,6.16
1972-05-01,6.07
1972-06-01,6.01
1972-07-01,6.01
1972-08-01,5.94
1972-09-01,6.05
1972-10-01,6
1972-11-01,5.79
1972-12-01,5.96
1973-01-01,6.78
1973-02-01,6.88
