"Date","H0RIFSGFPIY01NM"
1959-04-01,3.39
1959-05-01,3.84
1959-06-01,NA
1959-07-01,4.73
1959-08-01,NA
1959-09-01,NA
1959-10-01,NA
1959-11-01,NA
1959-12-01,4.86
1960-01-01,5.07
1960-02-01,NA
1960-03-01,NA
1960-04-01,4.61
1960-05-01,NA
1960-06-01,NA
1960-07-01,3.27
1960-08-01,NA
1960-09-01,NA
1960-10-01,3.13
1960-11-01,NA
1960-12-01,NA
1961-01-01,2.68
1961-02-01,NA
1961-03-01,NA
1961-04-01,2.83
1961-05-01,NA
1961-06-01,NA
1961-07-01,2.91
1961-08-01,NA
1961-09-01,NA
1961-10-01,2.98
1961-11-01,NA
1961-12-01,NA
1962-01-01,3.37
1962-02-01,NA
1962-03-01,NA
1962-04-01,2.94
1962-05-01,NA
1962-06-01,NA
1962-07-01,3.26
1962-08-01,NA
1962-09-01,NA
1962-10-01,2.97
1962-11-01,NA
1962-12-01,NA
1963-01-01,3.02
1963-02-01,NA
1963-03-01,NA
1963-04-01,3.06
1963-05-01,NA
1963-06-01,NA
1963-07-01,3.58
1963-08-01,NA
1963-09-01,3.58
1963-10-01,3.59
1963-11-01,3.63
1963-12-01,3.59
1964-01-01,3.71
1964-02-01,3.68
1964-03-01,3.77
1964-04-01,3.72
1964-05-01,3.71
1964-06-01,3.72
1964-07-01,3.69
1964-08-01,3.67
1964-09-01,3.77
1964-10-01,3.79
1964-11-01,4.07
1964-12-01,3.97
1965-01-01,3.95
1965-02-01,4.06
1965-03-01,3.99
1965-04-01,4
1965-05-01,3.95
1965-06-01,3.81
1965-07-01,3.88
1965-08-01,4.01
1965-09-01,4.24
1965-10-01,4.19
1965-11-01,4.28
1965-12-01,4.73
1966-01-01,4.7
1966-02-01,4.95
1966-03-01,4.74
1966-04-01,4.77
1966-05-01,4.97
1966-06-01,4.7
1966-07-01,4.96
1966-08-01,5.84
1966-09-01,5.81
1966-10-01,5.54
1966-11-01,5.52
1966-12-01,4.82
1967-01-01,4.58
1967-02-01,4.7
1967-03-01,4.07
1967-04-01,3.83
1967-05-01,3.93
1967-06-01,4.73
1967-07-01,5.15
1967-08-01,5.1
1967-09-01,5.12
1967-10-01,5.3
1967-11-01,5.43
1967-12-01,5.54
1968-01-01,5.27
1968-02-01,5.28
1968-03-01,5.48
1968-04-01,5.66
1968-05-01,6.08
1968-06-01,5.73
1968-07-01,5.31
1968-08-01,5.15
1968-09-01,5.11
1968-10-01,5.4
1968-11-01,5.57
1968-12-01,6.41
1969-01-01,6.14
1969-02-01,6.23
1969-03-01,6.13
1969-04-01,5.93
1969-05-01,6.27
1969-06-01,7.34
1969-07-01,7.31
1969-08-01,7.34
1969-09-01,7.35
1969-10-01,7.13
1969-11-01,7.59
1969-12-01,7.56
1970-01-01,7.53
1970-02-01,6.93
1970-03-01,6.13
1970-04-01,6.81
1970-05-01,7.28
1970-06-01,7.08
1970-07-01,6.38
1970-08-01,6.4
1970-09-01,6.22
1970-10-01,6.07
1970-11-01,5.01
1970-12-01,4.89
1971-01-01,4.25
1971-02-01,3.68
1971-03-01,3.59
1971-04-01,4.42
1971-05-01,4.79
1971-06-01,5.57
1971-07-01,5.95
1971-08-01,5.13
1971-09-01,5.28
1971-10-01,4.49
1971-11-01,4.56
1971-12-01,3.93
1972-01-01,3.94
1972-02-01,4.09
1972-03-01,4.66
1972-04-01,4.36
1972-05-01,4.47
1972-06-01,4.85
1972-07-01,4.92
1972-08-01,5.18
1972-09-01,5.53
1972-10-01,5.32
1972-11-01,5.23
1972-12-01,5.34
1973-01-01,5.99
1973-02-01,6.05
1973-03-01,6.62
1973-04-01,6.6
1973-05-01,6.82
1973-06-01,7.24
1973-07-01,8.39
1973-08-01,8.39
1973-09-01,8.06
1973-10-01,7.13
1973-11-01,7.71
1973-12-01,6.88
1974-01-01,6.95
1974-02-01,6.34
1974-03-01,6.9
1974-04-01,7.89
1974-05-01,8.42
1974-06-01,8.25
1974-07-01,8.05
1974-08-01,9.56
1974-09-01,8.34
1974-10-01,7.63
1974-11-01,7.36
1974-12-01,6.63
1975-01-01,6.38
1975-02-01,5.31
1975-03-01,5.64
1975-04-01,6.48
1975-05-01,6.4
1975-06-01,5.8
1975-07-01,6.54
1975-08-01,7.33
1975-09-01,7.34
1975-10-01,6.6
1975-11-01,6.01
1975-12-01,6.44
