"Date","H0RIFSPPFM06NM"
1954-05-01,1.38
1954-06-01,1.32
1954-07-01,1.25
1954-08-01,1.25
1954-09-01,1.25
1954-10-01,1.25
1954-11-01,1.25
1954-12-01,1.22
1955-01-01,1.37
1955-02-01,1.5
1955-03-01,1.5
1955-04-01,1.72
1955-05-01,1.88
1955-06-01,1.88
1955-07-01,1.88
1955-08-01,2.02
1955-09-01,2.26
1955-10-01,2.46
1955-11-01,2.53
1955-12-01,2.8
1956-01-01,2.88
1956-02-01,2.88
1956-03-01,2.88
1956-04-01,2.94
1956-05-01,3.29
1956-06-01,3
1956-07-01,2.89
1956-08-01,2.98
1956-09-01,3.13
1956-10-01,3.37
1956-11-01,3.38
1956-12-01,3.38
1957-01-01,3.38
1957-02-01,3.38
1957-03-01,3.38
1957-04-01,3.38
1957-05-01,3.38
1957-06-01,3.47
1957-07-01,3.63
1957-08-01,3.63
1957-09-01,3.84
1957-10-01,3.88
1957-11-01,3.84
1957-12-01,3.55
1958-01-01,3.23
1958-02-01,2.2
1958-03-01,1.86
1958-04-01,1.6
1958-05-01,1.38
1958-06-01,1.38
1958-07-01,1.32
1958-08-01,1.5
1958-09-01,2.52
1958-10-01,2.88
1958-11-01,2.75
1958-12-01,2.93
1959-01-01,3
1959-02-01,3
1959-03-01,3.28
1959-04-01,3.38
1959-05-01,3.38
1959-06-01,3.69
1959-07-01,3.88
1959-08-01,3.93
1959-09-01,4.63
1959-10-01,4.7
1959-11-01,4.33
1959-12-01,4.84
1960-01-01,5.14
1960-02-01,4.66
1960-03-01,4.07
1960-04-01,3.75
1960-05-01,3.88
1960-06-01,3.26
1960-07-01,3
1960-08-01,3.01
1960-09-01,3.24
1960-10-01,3.2
1960-11-01,3.07
1960-12-01,3.03
1961-01-01,2.84
1961-02-01,2.76
1961-03-01,2.76
1961-04-01,2.57
1961-05-01,2.5
1961-06-01,2.66
1961-07-01,2.5
1961-08-01,2.76
1961-09-01,2.88
1961-10-01,2.84
1961-11-01,2.78
1961-12-01,2.94
1962-01-01,3.05
1962-02-01,3
1962-03-01,3.02
1962-04-01,3.07
1962-05-01,2.94
1962-06-01,3.01
1962-07-01,3.2
1962-08-01,3.13
1962-09-01,3.13
1962-10-01,3.07
1962-11-01,3.27
