"Date","H1RIFSPABM03NM"
1965-02-01,4.13
1965-03-01,4.25
1965-04-01,4.19
1965-05-01,NA
1965-06-01,NA
1965-07-01,4.13
1965-08-01,4.25
1965-09-01,NA
1965-10-01,NA
1965-11-01,NA
1965-12-01,4.63
1966-01-01,NA
1966-02-01,4.88
1966-03-01,5
1966-04-01,NA
1966-05-01,5.25
1966-06-01,5.5
1966-07-01,5.63
1966-08-01,5.75
1966-09-01,NA
1966-10-01,5.63
1966-11-01,5.69
1966-12-01,5.5
1967-01-01,5.08
1967-02-01,4.94
1967-03-01,4.63
1967-04-01,4.25
1967-05-01,4.32
1967-06-01,4.57
1967-07-01,4.59
1967-08-01,4.79
1967-09-01,4.75
1967-10-01,4.94
1967-11-01,5.13
1967-12-01,5.44
1968-01-01,5.32
1968-02-01,5.25
1968-03-01,5.56
1968-04-01,5.72
1968-05-01,6.05
1968-06-01,5.94
1968-07-01,5.82
1968-08-01,5.72
1968-09-01,NA
1968-10-01,5.81
1968-11-01,6
1968-12-01,6.31
1969-01-01,6.5
1969-02-01,6.57
1969-03-01,6.69
1969-04-01,6.88
1969-05-01,7.32
1969-06-01,8.13
1969-07-01,8.25
1969-08-01,8.04
1969-09-01,8.19
1969-10-01,8.07
1969-11-01,8.29
1969-12-01,8.63
1970-01-01,8.63
1970-02-01,8.25
1970-03-01,7.57
1970-04-01,7.63
1970-05-01,7.98
1970-06-01,7.79
1970-07-01,7.5
1970-08-01,7.17
1970-09-01,6.94
1970-10-01,6.56
1970-11-01,5.86
1970-12-01,5.38
1971-01-01,4.69
1971-02-01,4.07
1971-03-01,3.82
1971-04-01,4.44
1971-05-01,4.94
1971-06-01,5.38
1971-07-01,5.57
1971-08-01,5.54
1971-09-01,5.38
1971-10-01,5.07
1971-11-01,4.79
1971-12-01,4.38
1972-01-01,3.88
1972-02-01,3.5
1972-03-01,3.94
1972-04-01,4.35
1972-05-01,NA
1972-06-01,4.57
1972-07-01,4.63
1972-08-01,4.75
1972-09-01,4.88
1972-10-01,5.07
1972-11-01,5
1972-12-01,5.19
1973-01-01,5.68
1973-02-01,6.19
1973-03-01,6.73
1973-04-01,6.94
1973-05-01,7.25
1973-06-01,8.08
1973-07-01,9.3
1973-08-01,10.04
1973-09-01,10.11
1973-10-01,8.88
1973-11-01,8.75
1973-12-01,9
1974-01-01,8.44
1974-02-01,7.88
1974-03-01,8.66
1974-04-01,9.88
1974-05-01,10.63
1974-06-01,11.13
1974-07-01,11.75
1974-08-01,12.09
1974-09-01,11.14
1974-10-01,9.46
1974-11-01,9.02
1974-12-01,9.19
1975-01-01,7.74
1975-02-01,6.35
1975-03-01,6.22
1975-04-01,6.16
1975-05-01,5.79
1975-06-01,5.69
1975-07-01,6.36
1975-08-01,6.7
1975-09-01,6.83
1975-10-01,6.33
1975-11-01,5.79
1975-12-01,5.75
1976-01-01,4.86
1976-02-01,4.78
1976-03-01,4.95
1976-04-01,4.92
1976-05-01,5.46
1976-06-01,5.69
1976-07-01,5.42
1976-08-01,5.25
1976-09-01,5.22
1976-10-01,5
1976-11-01,4.84
1976-12-01,4.56
1977-01-01,4.74
1977-02-01,4.77
1977-03-01,4.75
1977-04-01,4.73
1977-05-01,5.28
1977-06-01,5.34
1977-07-01,5.37
1977-08-01,5.81
1977-09-01,6.1
1977-10-01,6.49
1977-11-01,6.51
1977-12-01,6.55
1978-01-01,6.81
1978-02-01,6.77
1978-03-01,6.75
1978-04-01,6.87
1978-05-01,7.27
1978-06-01,7.69
1978-07-01,7.95
1978-08-01,7.91
1978-09-01,8.49
1978-10-01,9.26
1978-11-01,10.48
1978-12-01,10.49
1979-01-01,10.24
1979-02-01,9.96
