"Date","HQMCB3YR"
1984-01-01,11.61
1984-02-01,11.73
1984-03-01,12.01
1984-04-01,12.35
1984-05-01,13.02
1984-06-01,13.38
1984-07-01,13.4
1984-08-01,12.84
1984-09-01,12.77
1984-10-01,12.51
1984-11-01,11.94
1984-12-01,11.71
1985-01-01,11.58
1985-02-01,11.31
1985-03-01,11.57
1985-04-01,11.13
1985-05-01,10.58
1985-06-01,10.01
1985-07-01,10.03
1985-08-01,10.15
1985-09-01,10.15
1985-10-01,10
1985-11-01,9.66
1985-12-01,9.23
1986-01-01,9.18
1986-02-01,8.92
1986-03-01,8.4
1986-04-01,8.11
1986-05-01,8.19
1986-06-01,8.4
1986-07-01,8.07
1986-08-01,7.93
1986-09-01,7.84
1986-10-01,7.79
1986-11-01,7.56
1986-12-01,7.41
1987-01-01,7.26
1987-02-01,7.33
1987-03-01,7.3
1987-04-01,7.82
1987-05-01,8.39
1987-06-01,8.38
1987-07-01,8.38
1987-08-01,8.61
1987-09-01,9.2
1987-10-01,9.42
1987-11-01,8.79
1987-12-01,8.85
1988-01-01,8.64
1988-02-01,8.31
1988-03-01,8.33
1988-04-01,8.52
1988-05-01,8.7
1988-06-01,8.77
1988-07-01,8.93
1988-08-01,9.2
1988-09-01,9.16
1988-10-01,9.06
1988-11-01,9.31
1988-12-01,9.66
1989-01-01,9.79
1989-02-01,9.85
1989-03-01,10.2
1989-04-01,10.25
1989-05-01,9.89
1989-06-01,9.32
1989-07-01,8.94
1989-08-01,8.94
1989-09-01,9.1
1989-10-01,8.9
1989-11-01,8.73
1989-12-01,8.74
1990-01-01,9.02
1990-02-01,9.26
1990-03-01,9.34
1990-04-01,9.55
1990-05-01,9.55
1990-06-01,9.26
1990-07-01,9.19
1990-08-01,9.19
1990-09-01,9.21
1990-10-01,9.23
1990-11-01,9.17
1990-12-01,8.91
1991-01-01,8.9
1991-02-01,8.72
1991-03-01,8.73
1991-04-01,8.41
1991-05-01,8.24
1991-06-01,8.32
1991-07-01,8.37
1991-08-01,7.97
1991-09-01,7.81
1991-10-01,7.34
1991-11-01,7.09
1991-12-01,6.65
1992-01-01,6.43
1992-02-01,6.77
1992-03-01,7.03
1992-04-01,6.82
1992-05-01,6.69
1992-06-01,6.49
1992-07-01,5.87
1992-08-01,5.61
1992-09-01,5.36
1992-10-01,5.54
1992-11-01,6
1992-12-01,6.08
1993-01-01,5.87
1993-02-01,5.46
1993-03-01,5.19
1993-04-01,5.08
1993-05-01,5.17
1993-06-01,5.27
1993-07-01,5.15
1993-08-01,5.1
1993-09-01,4.91
1993-10-01,4.89
1993-11-01,5.15
1993-12-01,5.16
1994-01-01,5.02
1994-02-01,5.35
