"Date","HQMCB5YRP"
1984-01-01,11.98
1984-02-01,12.15
1984-03-01,12.51
1984-04-01,12.85
1984-05-01,13.57
1984-06-01,13.98
1984-07-01,13.9
1984-08-01,13.26
1984-09-01,13.13
1984-10-01,12.71
1984-11-01,12.19
1984-12-01,11.95
1985-01-01,11.84
1985-02-01,11.52
1985-03-01,11.85
1985-04-01,11.49
1985-05-01,11.04
1985-06-01,10.52
1985-07-01,10.55
1985-08-01,10.8
1985-09-01,10.79
1985-10-01,10.71
1985-11-01,10.39
1985-12-01,9.92
1986-01-01,9.78
1986-02-01,9.5
1986-03-01,8.91
1986-04-01,8.64
1986-05-01,8.77
1986-06-01,8.99
1986-07-01,8.47
1986-08-01,8.31
1986-09-01,8.28
1986-10-01,8.16
1986-11-01,7.88
1986-12-01,7.72
1987-01-01,7.66
1987-02-01,7.71
1987-03-01,7.68
1987-04-01,8.23
1987-05-01,8.83
1987-06-01,8.76
1987-07-01,8.71
1987-08-01,8.94
1987-09-01,9.52
1987-10-01,9.8
1987-11-01,9.28
1987-12-01,9.35
1988-01-01,9.14
1988-02-01,8.75
1988-03-01,8.79
1988-04-01,9.04
1988-05-01,9.21
1988-06-01,9.22
1988-07-01,9.33
1988-08-01,9.51
1988-09-01,9.41
1988-10-01,9.3
1988-11-01,9.53
1988-12-01,9.79
1989-01-01,9.88
1989-02-01,9.93
1989-03-01,10.21
1989-04-01,10.22
1989-05-01,9.89
1989-06-01,9.31
1989-07-01,8.98
1989-08-01,9
1989-09-01,9.14
1989-10-01,8.97
1989-11-01,8.82
1989-12-01,8.82
1990-01-01,9.11
1990-02-01,9.37
1990-03-01,9.47
1990-04-01,9.64
1990-05-01,9.66
1990-06-01,9.36
1990-07-01,9.36
1990-08-01,9.43
1990-09-01,9.52
1990-10-01,9.64
1990-11-01,9.53
1990-12-01,9.25
1991-01-01,9.22
1991-02-01,8.95
1991-03-01,8.94
1991-04-01,8.72
1991-05-01,8.67
1991-06-01,8.78
1991-07-01,8.83
1991-08-01,8.42
1991-09-01,8.15
1991-10-01,7.76
1991-11-01,7.62
1991-12-01,7.35
1992-01-01,7.26
1992-02-01,7.55
1992-03-01,7.77
1992-04-01,7.63
1992-05-01,7.53
1992-06-01,7.33
1992-07-01,6.81
1992-08-01,6.57
1992-09-01,6.35
1992-10-01,6.56
1992-11-01,6.97
1992-12-01,6.94
1993-01-01,6.76
1993-02-01,6.31
1993-03-01,6.04
1993-04-01,5.95
1993-05-01,5.99
1993-06-01,6
1993-07-01,5.83
1993-08-01,5.73
1993-09-01,5.45
1993-10-01,5.42
1993-11-01,5.72
1993-12-01,5.73
1994-01-01,5.62
1994-02-01,5.9
1994-03-01,6.45
1994-04-01,7.14
1994-05-01,7.38
1994-06-01,7.31
1994-07-01,7.48
1994-08-01,7.45
1994-09-01,7.65
1994-10-01,7.96
1994-11-01,8.28
1994-12-01,8.38
1995-01-01,8.39
1995-02-01,8.02
1995-03-01,7.65
1995-04-01,7.43
1995-05-01,6.97
1995-06-01,6.52
1995-07-01,6.62
1995-08-01,6.84
1995-09-01,6.58
1995-10-01,6.41
1995-11-01,6.25
1995-12-01,6.07
1996-01-01,5.93
1996-02-01,5.94
1996-03-01,6.53
1996-04-01,6.84
1996-05-01,6.98
1996-06-01,7.17
