"Date","HQMCB91Y6M"
1984-01-01,8.45
1984-02-01,10.27
1984-03-01,10.65
1984-04-01,11
1984-05-01,12.14
1984-06-01,12.45
1984-07-01,12.27
1984-08-01,11.74
1984-09-01,12.31
1984-10-01,9.87
1984-11-01,9.78
1984-12-01,10.98
1985-01-01,10.59
1985-02-01,9.35
1985-03-01,9.59
1985-04-01,9.5
1985-05-01,9.5
1985-06-01,9.08
1985-07-01,10.4
1985-08-01,10.87
1985-09-01,11.52
1985-10-01,11.43
1985-11-01,10.94
1985-12-01,10.25
1986-01-01,9.26
1986-02-01,9.46
1986-03-01,8.4
1986-04-01,8.1
1986-05-01,9.28
1986-06-01,10.12
1986-07-01,9.59
1986-08-01,9.88
1986-09-01,10.08
1986-10-01,10.17
1986-11-01,9.85
1986-12-01,9.56
1987-01-01,9.6
1987-02-01,9.52
1987-03-01,9.54
1987-04-01,10.43
1987-05-01,11.22
1987-06-01,10.62
1987-07-01,10.26
1987-08-01,10.29
1987-09-01,10.45
1987-10-01,10.42
1987-11-01,9.8
1987-12-01,9.94
1988-01-01,9.33
1988-02-01,9.22
1988-03-01,9.53
1988-04-01,10.22
1988-05-01,10.63
1988-06-01,10.24
1988-07-01,10.44
1988-08-01,10.28
1988-09-01,10.05
1988-10-01,9.91
1988-11-01,9.84
1988-12-01,9.76
1989-01-01,9.85
1989-02-01,9.95
1989-03-01,9.9
1989-04-01,9.7
1989-05-01,9.62
1989-06-01,9.25
1989-07-01,9.34
1989-08-01,9.32
1989-09-01,9.28
1989-10-01,9.17
1989-11-01,9.05
1989-12-01,8.96
1990-01-01,9
1990-02-01,9.25
1990-03-01,9.51
1990-04-01,9.63
1990-05-01,9.94
1990-06-01,9.76
1990-07-01,9.83
1990-08-01,10.62
1990-09-01,10.85
1990-10-01,10.95
1990-11-01,10.58
1990-12-01,10.21
1991-01-01,10.16
1991-02-01,9.75
1991-03-01,10.08
1991-04-01,9.88
1991-05-01,10.07
1991-06-01,10.35
1991-07-01,10.28
1991-08-01,9.96
1991-09-01,9.85
1991-10-01,10.16
1991-11-01,10.27
1991-12-01,10.4
1992-01-01,10.4
1992-02-01,10.27
