"Date","ICTY"
2021-04-01,0.07
2021-05-01,0.06
2021-06-01,0.05
2021-07-01,0.08
2021-08-01,0.08
2021-09-01,0.06
2021-10-01,0.06
2021-11-01,0.06
2021-12-01,0.07
2022-01-01,0.07
2022-02-01,0.08
2022-03-01,0.08
2022-04-01,0.08
2022-05-01,0.33
2022-06-01,0.33
2022-07-01,1.58
2022-08-01,2.32
2022-09-01,2.33
2022-10-01,3.08
2022-11-01,3.08
2022-12-01,3.83
2023-01-01,4.33
2023-02-01,4.33
2023-03-01,4.57
2023-04-01,4.57
2023-05-01,4.83
2023-06-01,4.83
2023-07-01,5.08
2023-08-01,5.08
2023-09-01,5.33
2023-10-01,5.33
2023-11-01,5.33
