"Date","IDSLIND"
1982-01-01,-1.27
1982-02-01,-0.39
1982-03-01,0.2
1982-04-01,0.8
1982-05-01,0.99
1982-06-01,0.8
1982-07-01,1.1
1982-08-01,0.61
1982-09-01,1.11
1982-10-01,1.2
1982-11-01,1.75
1982-12-01,2.21
1983-01-01,2.14
1983-02-01,2.68
1983-03-01,3.05
1983-04-01,3.22
1983-05-01,3.26
1983-06-01,2.92
1983-07-01,2.43
1983-08-01,1.98
1983-09-01,2.42
1983-10-01,2.47
1983-11-01,2.54
1983-12-01,2.39
1984-01-01,2.58
1984-02-01,2.81
1984-03-01,2.56
1984-04-01,2.12
1984-05-01,1.95
1984-06-01,1.63
1984-07-01,1.43
1984-08-01,1.81
1984-09-01,1.56
1984-10-01,1.73
1984-11-01,1.32
1984-12-01,1.13
1985-01-01,1.41
1985-02-01,1.26
1985-03-01,1.07
1985-04-01,1.18
1985-05-01,1.39
1985-06-01,1.82
1985-07-01,1.51
1985-08-01,1.59
1985-09-01,1.14
1985-10-01,1.44
1985-11-01,0.92
1985-12-01,0.74
1986-01-01,0.44
1986-02-01,0.84
1986-03-01,1.24
1986-04-01,0.99
1986-05-01,0.85
1986-06-01,0.76
1986-07-01,1.12
1986-08-01,0.99
1986-09-01,1.23
1986-10-01,1.48
1986-11-01,1.73
1986-12-01,2.05
1987-01-01,1.95
1987-02-01,1.99
1987-03-01,2.02
1987-04-01,2.01
1987-05-01,2.07
1987-06-01,2.09
1987-07-01,2.42
1987-08-01,1.74
1987-09-01,2.14
1987-10-01,2.12
1987-11-01,2.59
1987-12-01,2.32
1988-01-01,2.39
1988-02-01,2.56
1988-03-01,2.28
1988-04-01,2.31
1988-05-01,2.46
1988-06-01,2.91
1988-07-01,2.77
1988-08-01,2.11
1988-09-01,2.11
1988-10-01,2.24
1988-11-01,2.39
1988-12-01,2.64
1989-01-01,2.08
1989-02-01,1.91
1989-03-01,2.02
1989-04-01,2.2
1989-05-01,2.39
1989-06-01,2.36
1989-07-01,2.01
1989-08-01,1.83
1989-09-01,2.15
1989-10-01,2.13
1989-11-01,2.36
1989-12-01,2.45
1990-01-01,2.36
1990-02-01,2.24
1990-03-01,2.14
1990-04-01,2.32
1990-05-01,1.72
1990-06-01,1.33
1990-07-01,1.14
1990-08-01,1.86
1990-09-01,2.28
1990-10-01,1.88
1990-11-01,1.42
1990-12-01,1.01
1991-01-01,1.01
1991-02-01,1.17
1991-03-01,1.37
1991-04-01,1.75
1991-05-01,1.91
1991-06-01,1.89
1991-07-01,2.13
1991-08-01,2.07
1991-09-01,2
1991-10-01,1.83
1991-11-01,1.44
1991-12-01,1.63
1992-01-01,2.16
1992-02-01,2.26
1992-03-01,2.47
1992-04-01,2.11
1992-05-01,2.25
1992-06-01,1.93
1992-07-01,1.79
1992-08-01,1.76
1992-09-01,1.47
1992-10-01,2.11
1992-11-01,2.41
1992-12-01,2.37
1993-01-01,2.55
1993-02-01,2.42
1993-03-01,2.08
1993-04-01,1.8
1993-05-01,2.16
1993-06-01,2.12
1993-07-01,2.7
1993-08-01,2.7
1993-09-01,2.8
1993-10-01,2.62
1993-11-01,2.45
1993-12-01,2.42
1994-01-01,2.68
1994-02-01,2.6
1994-03-01,2.56
1994-04-01,2.53
1994-05-01,2.36
1994-06-01,2.28
1994-07-01,1.53
1994-08-01,1.65
1994-09-01,1.86
1994-10-01,1.65
1994-11-01,1.54
1994-12-01,1.86
1995-01-01,2.12
1995-02-01,1.98
1995-03-01,1.7
1995-04-01,1.29
1995-05-01,1.43
1995-06-01,1.62
1995-07-01,1.38
1995-08-01,1.72
1995-09-01,2.1
1995-10-01,2.17
1995-11-01,1.74
1995-12-01,1.62
1996-01-01,1.64
1996-02-01,1.28
1996-03-01,1.53
1996-04-01,1.77
1996-05-01,2.09
1996-06-01,2.45
1996-07-01,2.5
1996-08-01,2.24
1996-09-01,1.55
1996-10-01,1.6
1996-11-01,1.69
1996-12-01,1.66
1997-01-01,1.75
1997-02-01,1.89
1997-03-01,1.88
1997-04-01,1.98
1997-05-01,1.91
1997-06-01,2.26
1997-07-01,2.17
1997-08-01,2.05
1997-09-01,1.71
1997-10-01,1.57
1997-11-01,1.81
1997-12-01,2.09
1998-01-01,1.96
1998-02-01,1.78
1998-03-01,1.71
1998-04-01,1.73
1998-05-01,1.75
1998-06-01,1.5
1998-07-01,1.73
1998-08-01,1.94
1998-09-01,1.9
1998-10-01,1.92
1998-11-01,2.04
1998-12-01,2.02
1999-01-01,1.87
1999-02-01,1.79
1999-03-01,1.87
1999-04-01,1.62
1999-05-01,1.8
1999-06-01,2
1999-07-01,2.11
1999-08-01,2.05
1999-09-01,2.2
1999-10-01,2.19
1999-11-01,2.36
1999-12-01,2.05
2000-01-01,1.87
2000-02-01,1.77
2000-03-01,1.81
2000-04-01,2.44
2000-05-01,2.37
2000-06-01,1.78
2000-07-01,1.51
2000-08-01,1.62
2000-09-01,1.57
2000-10-01,1.36
2000-11-01,1.67
2000-12-01,1.56
2001-01-01,1.51
2001-02-01,1.39
2001-03-01,1.38
2001-04-01,1.11
2001-05-01,0.71
2001-06-01,0.97
2001-07-01,0.79
2001-08-01,1.03
2001-09-01,0.78
2001-10-01,0.53
2001-11-01,0.49
2001-12-01,0.39
2002-01-01,1.33
2002-02-01,1.42
2002-03-01,1.46
2002-04-01,1.83
2002-05-01,1.95
2002-06-01,2.19
2002-07-01,1.88
2002-08-01,1.81
2002-09-01,1.82
2002-10-01,2.14
2002-11-01,1.59
2002-12-01,1.5
2003-01-01,1.6
2003-02-01,1.14
2003-03-01,0.99
2003-04-01,0.71
2003-05-01,1.14
2003-06-01,1.27
2003-07-01,1.51
2003-08-01,1.58
2003-09-01,1.88
2003-10-01,2.14
2003-11-01,2.23
2003-12-01,2.47
2004-01-01,2.26
2004-02-01,2.34
2004-03-01,2.57
2004-04-01,2.46
2004-05-01,2.24
2004-06-01,2.13
2004-07-01,2.07
2004-08-01,1.78
2004-09-01,1.72
2004-10-01,1.99
2004-11-01,2.23
2004-12-01,2.29
2005-01-01,2.38
2005-02-01,2.68
2005-03-01,2.09
2005-04-01,2.12
2005-05-01,1.69
2005-06-01,1.82
2005-07-01,2.32
2005-08-01,2.36
2005-09-01,2.71
2005-10-01,2.63
2005-11-01,2.52
2005-12-01,2.07
2006-01-01,2.15
2006-02-01,2.13
2006-03-01,2.13
2006-04-01,2.33
2006-05-01,2.14
2006-06-01,1.98
2006-07-01,1.89
2006-08-01,1.83
2006-09-01,1.93
2006-10-01,1.54
2006-11-01,1.51
2006-12-01,1.67
2007-01-01,1.84
2007-02-01,1.92
2007-03-01,2.1
2007-04-01,1.85
2007-05-01,1.81
2007-06-01,1.59
2007-07-01,1.09
2007-08-01,1.03
2007-09-01,0.76
2007-10-01,1
2007-11-01,1.07
2007-12-01,1.14
2008-01-01,0.77
2008-02-01,0.68
2008-03-01,0.83
2008-04-01,-0.69
2008-05-01,-0.38
2008-06-01,0.05
2008-07-01,0
2008-08-01,0.01
2008-09-01,-0.26
2008-10-01,-1.07
2008-11-01,-1.31
2008-12-01,-1.04
2009-01-01,-0.66
2009-02-01,-0.99
2009-03-01,-0.95
2009-04-01,-0.51
2009-05-01,-1.26
2009-06-01,-0.68
2009-07-01,0.18
2009-08-01,0.81
2009-09-01,1.44
2009-10-01,1.88
2009-11-01,1.91
2009-12-01,1.68
2010-01-01,1.11
2010-02-01,1.4
2010-03-01,1.97
2010-04-01,1.67
2010-05-01,1.74
2010-06-01,1.14
2010-07-01,1.61
2010-08-01,1.36
2010-09-01,0.79
2010-10-01,1.31
2010-11-01,1.71
2010-12-01,1.82
2011-01-01,1.79
2011-02-01,1.9
2011-03-01,1.7
2011-04-01,1.71
2011-05-01,1.61
2011-06-01,1.67
2011-07-01,2
2011-08-01,2.31
2011-09-01,2.4
2011-10-01,2.28
2011-11-01,2.27
2011-12-01,2.33
2012-01-01,2.12
2012-02-01,1.77
2012-03-01,1.69
2012-04-01,1.84
2012-05-01,2.12
2012-06-01,2.26
2012-07-01,2.06
2012-08-01,2.14
2012-09-01,2.18
2012-10-01,2.31
2012-11-01,2.14
2012-12-01,2.23
2013-01-01,1.9
2013-02-01,2.02
2013-03-01,2.03
2013-04-01,2.09
2013-05-01,2.21
2013-06-01,2.13
2013-07-01,1.93
2013-08-01,1.79
2013-09-01,1.69
2013-10-01,2.43
2013-11-01,2.51
2013-12-01,2.3
2014-01-01,2.39
2014-02-01,2.18
2014-03-01,2.15
2014-04-01,2.05
2014-05-01,2.09
2014-06-01,1.95
2014-07-01,1.9
2014-08-01,2.05
2014-09-01,1.91
2014-10-01,2.3
2014-11-01,2.28
2014-12-01,2.36
2015-01-01,2.3
2015-02-01,2.11
2015-03-01,2
2015-04-01,1.81
2015-05-01,1.67
2015-06-01,1.48
2015-07-01,1.72
2015-08-01,1.74
2015-09-01,1.97
2015-10-01,1.76
2015-11-01,1.9
2015-12-01,1.93
2016-01-01,2.09
2016-02-01,2.24
2016-03-01,2.35
2016-04-01,2.1
2016-05-01,2.15
2016-06-01,2.04
2016-07-01,2.05
2016-08-01,1.94
2016-09-01,1.8
2016-10-01,1.61
2016-11-01,1.94
2016-12-01,1.84
2017-01-01,1.77
2017-02-01,1.99
2017-03-01,2.21
2017-04-01,2.18
2017-05-01,2.02
2017-06-01,2.28
2017-07-01,2.06
2017-08-01,2.05
2017-09-01,2.23
2017-10-01,1.96
2017-11-01,1.69
2017-12-01,1.69
2018-01-01,2.11
2018-02-01,2.26
2018-03-01,2.08
2018-04-01,2.04
2018-05-01,1.93
2018-06-01,2.23
2018-07-01,1.88
2018-08-01,1.85
2018-09-01,1.63
2018-10-01,1.78
2018-11-01,1.7
2018-12-01,1.56
2019-01-01,1.57
2019-02-01,1.45
2019-03-01,1.6
2019-04-01,1.73
2019-05-01,1.9
2019-06-01,1.71
2019-07-01,1.81
2019-08-01,2.03
2019-09-01,1.79
2019-10-01,1.42
2019-11-01,1.46
2019-12-01,1.88
2020-01-01,1.88
2020-02-01,2.37
