"Date","M1105AUSM505NNBR"
1857-01-01,21
1857-02-01,20.6
1857-03-01,20
1857-04-01,19.4
1857-05-01,18.7
1857-06-01,18.1
1857-07-01,17.5
1857-08-01,17
1857-09-01,16.5
1857-10-01,16.1
1857-11-01,15.9
1857-12-01,15.7
1858-01-01,15.6
1858-02-01,15.7
1858-03-01,15.8
1858-04-01,16
1858-05-01,16.1
1858-06-01,16.3
1858-07-01,16.4
1858-08-01,16.4
1858-09-01,16.4
1858-10-01,16.3
1858-11-01,16.1
1858-12-01,15.9
1859-01-01,15.7
1859-02-01,15.6
1859-03-01,15.4
1859-04-01,15.3
1859-05-01,15.2
1859-06-01,15.1
1859-07-01,15.1
1859-08-01,15
1859-09-01,15
1859-10-01,15.1
1859-11-01,15.2
1859-12-01,15.5
1860-01-01,15.7
1860-02-01,16
1860-03-01,16.4
1860-04-01,16.7
1860-05-01,17
1860-06-01,17.3
1860-07-01,17.5
1860-08-01,17.7
1860-09-01,17.8
1860-10-01,17.7
1860-11-01,17.6
1860-12-01,17.3
1861-01-01,17
1861-02-01,16.7
1861-03-01,16.3
1861-04-01,16
1861-05-01,15.7
1861-06-01,15.5
1861-07-01,15.4
1861-08-01,15.4
1861-09-01,15.5
1861-10-01,15.6
1861-11-01,15.8
1861-12-01,16
1862-01-01,16.3
1862-02-01,16.7
1862-03-01,17.1
1862-04-01,17.6
1862-05-01,18.2
1862-06-01,18.9
1862-07-01,19.6
1862-08-01,20.4
1862-09-01,21.3
1862-10-01,22.2
1862-11-01,23.2
1862-12-01,24.2
1863-01-01,25.2
1863-02-01,26.2
1863-03-01,27.1
1863-04-01,28
1863-05-01,28.9
1863-06-01,29.7
1863-07-01,30.4
1863-08-01,31.2
1863-09-01,31.9
1863-10-01,32.7
1863-11-01,33.5
1863-12-01,34.3
1864-01-01,35.1
1864-02-01,35.8
1864-03-01,36.4
1864-04-01,36.9
1864-05-01,37.2
1864-06-01,37.3
1864-07-01,37
1864-08-01,36.5
1864-09-01,35.8
1864-10-01,35
1864-11-01,34
1864-12-01,33.1
1865-01-01,32.2
1865-02-01,31.5
1865-03-01,30.9
1865-04-01,30.5
1865-05-01,30.2
1865-06-01,30
1865-07-01,29.9
1865-08-01,29.8
1865-09-01,29.9
1865-10-01,30
1865-11-01,30.1
1865-12-01,30.3
1866-01-01,30.5
1866-02-01,30.8
1866-03-01,31
1866-04-01,31.3
1866-05-01,31.5
1866-06-01,31.6
1866-07-01,31.8
1866-08-01,31.9
1866-09-01,32
1866-10-01,32.1
1866-11-01,32.1
1866-12-01,32.1
1867-01-01,32.1
1867-02-01,32
1867-03-01,31.9
1867-04-01,31.8
1867-05-01,31.7
1867-06-01,31.8
1867-07-01,31.9
1867-08-01,32.1
1867-09-01,32.5
1867-10-01,32.9
1867-11-01,33.4
1867-12-01,33.9
1868-01-01,34.3
1868-02-01,34.8
1868-03-01,35.1
1868-04-01,35.4
1868-05-01,35.7
1868-06-01,35.9
1868-07-01,36.2
1868-08-01,36.5
1868-09-01,36.8
1868-10-01,37.1
1868-11-01,37.5
1868-12-01,37.9
1869-01-01,38.3
1869-02-01,38.6
1869-03-01,38.9
1869-04-01,39.2
1869-05-01,39.3
1869-06-01,39.4
1869-07-01,39.5
1869-08-01,39.5
1869-09-01,39.4
1869-10-01,39.4
1869-11-01,39.3
1869-12-01,39.3
1870-01-01,39.3
1870-02-01,39.3
1870-03-01,39.3
1870-04-01,39.3
1870-05-01,39.4
1870-06-01,39.6
1870-07-01,39.8
1870-08-01,39.9
1870-09-01,40.1
1870-10-01,40.3
1870-11-01,40.5
1870-12-01,40.7
1871-01-01,40.8
1871-02-01,40.9
1871-03-01,41
1871-04-01,41.1
1871-05-01,41.2
1871-06-01,41.4
1871-07-01,41.5
1871-08-01,41.7
1871-09-01,41.9
1871-10-01,42.1
1871-11-01,42.3
1871-12-01,42.5
1872-01-01,42.7
1872-02-01,42.9
1872-03-01,43.1
1872-04-01,43.2
1872-05-01,43.4
1872-06-01,43.7
1872-07-01,43.9
1872-08-01,44.1
1872-09-01,44.3
1872-10-01,44.4
1872-11-01,44.4
1872-12-01,44.4
1873-01-01,44.2
1873-02-01,44
1873-03-01,43.6
1873-04-01,43.2
1873-05-01,42.7
1873-06-01,42.2
1873-07-01,41.6
1873-08-01,41.1
1873-09-01,40.5
1873-10-01,40
1873-11-01,39.5
1873-12-01,39.2
1874-01-01,38.9
1874-02-01,38.7
1874-03-01,38.6
1874-04-01,38.6
1874-05-01,38.8
1874-06-01,38.9
1874-07-01,39.1
1874-08-01,39.2
1874-09-01,39.3
1874-10-01,39.3
1874-11-01,39.3
1874-12-01,39.2
1875-01-01,39
1875-02-01,38.9
1875-03-01,38.7
1875-04-01,38.5
1875-05-01,38.4
1875-06-01,38.3
1875-07-01,38.2
1875-08-01,38.2
1875-09-01,38.1
1875-10-01,38
1875-11-01,38
1875-12-01,37.9
1876-01-01,37.8
1876-02-01,37.6
1876-03-01,37.4
1876-04-01,37.1
1876-05-01,36.6
1876-06-01,35.9
1876-07-01,35
1876-08-01,34
1876-09-01,32.9
1876-10-01,31.7
1876-11-01,30.5
1876-12-01,29.4
1877-01-01,28.4
1877-02-01,27.5
1877-03-01,26.9
1877-04-01,26.4
1877-05-01,26
1877-06-01,25.9
1877-07-01,25.8
1877-08-01,25.9
1877-09-01,26.1
1877-10-01,26.5
1877-11-01,26.9
1877-12-01,27.3
1878-01-01,27.8
1878-02-01,28.2
1878-03-01,28.5
1878-04-01,28.8
1878-05-01,29.1
1878-06-01,29.2
1878-07-01,29.4
1878-08-01,29.5
1878-09-01,29.7
1878-10-01,29.9
1878-11-01,30.1
1878-12-01,30.4
1879-01-01,30.9
1879-02-01,31.4
1879-03-01,32.1
1879-04-01,32.9
1879-05-01,33.9
1879-06-01,35.1
1879-07-01,36.4
1879-08-01,37.7
1879-09-01,39.1
1879-10-01,40.4
1879-11-01,41.5
1879-12-01,42.5
1880-01-01,43.3
1880-02-01,43.9
1880-03-01,44.4
1880-04-01,44.9
1880-05-01,45.4
1880-06-01,45.9
1880-07-01,46.5
1880-08-01,47.3
1880-09-01,48.3
1880-10-01,49.4
1880-11-01,50.6
1880-12-01,52
1881-01-01,53.5
1881-02-01,54.9
1881-03-01,56.1
1881-04-01,57
1881-05-01,57.6
1881-06-01,57.7
1881-07-01,57.4
1881-08-01,56.9
1881-09-01,56.1
1881-10-01,55.3
1881-11-01,54.5
1881-12-01,53.8
1882-01-01,53.2
1882-02-01,52.8
1882-03-01,52.6
1882-04-01,52.4
1882-05-01,52.4
1882-06-01,52.5
1882-07-01,52.6
1882-08-01,52.8
1882-09-01,52.9
1882-10-01,53.1
1882-11-01,53.1
1882-12-01,53.1
1883-01-01,53
1883-02-01,52.7
1883-03-01,52.4
1883-04-01,52.1
1883-05-01,51.7
1883-06-01,51.3
1883-07-01,50.9
1883-08-01,50.5
1883-09-01,50
1883-10-01,49.5
1883-11-01,48.8
1883-12-01,48.1
1884-01-01,47.2
1884-02-01,46.4
1884-03-01,45.4
1884-04-01,44.5
1884-05-01,43.6
1884-06-01,42.6
1884-07-01,41.8
1884-08-01,41
1884-09-01,40.2
1884-10-01,39.6
1884-11-01,39
1884-12-01,38.7
1885-01-01,38.5
1885-02-01,38.5
1885-03-01,38.7
1885-04-01,39
1885-05-01,39.5
1885-06-01,40.2
1885-07-01,40.9
1885-08-01,41.7
1885-09-01,42.5
1885-10-01,43.3
1885-11-01,44.1
1885-12-01,44.9
1886-01-01,45.6
1886-02-01,46.2
1886-03-01,46.7
1886-04-01,47.2
1886-05-01,47.6
1886-06-01,48
1886-07-01,48.3
1886-08-01,48.8
1886-09-01,49.2
1886-10-01,49.7
1886-11-01,50.2
1886-12-01,50.7
1887-01-01,51.1
1887-02-01,51.3
1887-03-01,51.4
1887-04-01,51.3
1887-05-01,51.1
1887-06-01,50.6
1887-07-01,50.1
1887-08-01,49.5
1887-09-01,48.8
1887-10-01,48.2
1887-11-01,47.6
1887-12-01,47
1888-01-01,46.5
1888-02-01,46.2
1888-03-01,45.9
1888-04-01,45.8
1888-05-01,45.7
1888-06-01,45.6
1888-07-01,45.6
1888-08-01,45.5
1888-09-01,45.5
1888-10-01,45.4
1888-11-01,45.4
1888-12-01,45.3
1889-01-01,45.2
1889-02-01,45.2
1889-03-01,45.1
1889-04-01,45.1
1889-05-01,45.1
1889-06-01,45.2
1889-07-01,45.3
1889-08-01,45.6
1889-09-01,45.9
1889-10-01,46.3
1889-11-01,46.7
1889-12-01,47.1
1890-01-01,47.4
1890-02-01,47.7
1890-03-01,47.7
1890-04-01,47.6
1890-05-01,47.3
1890-06-01,46.9
1890-07-01,46.3
1890-08-01,45.7
1890-09-01,45
1890-10-01,44.2
1890-11-01,43.5
1890-12-01,42.9
1891-01-01,42.4
1891-02-01,42.1
1891-03-01,42
1891-04-01,42.1
1891-05-01,42.5
1891-06-01,43
1891-07-01,43.7
1891-08-01,44.5
1891-09-01,45.4
1891-10-01,46.2
1891-11-01,46.9
1891-12-01,47.5
1892-01-01,48
1892-02-01,48.4
1892-03-01,48.7
1892-04-01,48.9
1892-05-01,49
1892-06-01,49.1
1892-07-01,49.1
1892-08-01,49
1892-09-01,48.7
1892-10-01,48.3
1892-11-01,47.7
1892-12-01,46.9
1893-01-01,46
1893-02-01,45
1893-03-01,43.9
1893-04-01,42.8
1893-05-01,41.7
1893-06-01,40.7
1893-07-01,39.8
1893-08-01,39
1893-09-01,38.4
1893-10-01,38
1893-11-01,37.7
1893-12-01,37.6
1894-01-01,37.6
1894-02-01,37.7
1894-03-01,37.8
1894-04-01,37.8
1894-05-01,37.8
1894-06-01,37.7
1894-07-01,37.5
1894-08-01,37.3
1894-09-01,37
1894-10-01,36.8
1894-11-01,36.8
1894-12-01,36.8
1895-01-01,37
1895-02-01,37.3
1895-03-01,37.6
1895-04-01,38.1
1895-05-01,38.5
1895-06-01,38.9
1895-07-01,39.3
1895-08-01,39.5
1895-09-01,39.7
1895-10-01,39.6
1895-11-01,39.5
1895-12-01,39.1
1896-01-01,38.7
1896-02-01,38.1
1896-03-01,37.5
1896-04-01,37
1896-05-01,36.5
1896-06-01,36
1896-07-01,35.6
1896-08-01,35.4
1896-09-01,35.1
1896-10-01,35
1896-11-01,35
1896-12-01,35.1
1897-01-01,35.3
1897-02-01,35.6
1897-03-01,36
1897-04-01,36.5
1897-05-01,37.1
1897-06-01,37.7
1897-07-01,38.2
1897-08-01,38.8
1897-09-01,39.3
1897-10-01,39.8
1897-11-01,40.1
1897-12-01,40.4
1898-01-01,40.7
1898-02-01,40.8
1898-03-01,41
1898-04-01,41.2
1898-05-01,41.6
1898-06-01,42
1898-07-01,42.6
1898-08-01,43.4
1898-09-01,44.4
1898-10-01,45.6
1898-11-01,46.8
1898-12-01,48.1
1899-01-01,49.3
1899-02-01,50.4
1899-03-01,51.4
1899-04-01,52.2
1899-05-01,52.9
1899-06-01,53.4
1899-07-01,53.8
1899-08-01,54
1899-09-01,54.1
1899-10-01,54
1899-11-01,53.8
1899-12-01,53.5
1900-01-01,53.2
1900-02-01,52.8
1900-03-01,52.5
1900-04-01,52.3
1900-05-01,52.3
1900-06-01,52.5
1900-07-01,53
1900-08-01,53.8
1900-09-01,55
1900-10-01,56.5
1900-11-01,58.3
1900-12-01,60.3
1901-01-01,62.5
1901-02-01,64.9
1901-03-01,67.2
1901-04-01,69.4
1901-05-01,71.4
1901-06-01,73.1
1901-07-01,74.4
1901-08-01,75.4
1901-09-01,76.1
1901-10-01,76.7
1901-11-01,77.2
1901-12-01,77.7
1902-01-01,78.4
1902-02-01,79.2
1902-03-01,80.2
1902-04-01,81.3
1902-05-01,82.5
1902-06-01,83.6
1902-07-01,84.5
1902-08-01,85.2
1902-09-01,85.4
1902-10-01,85.3
1902-11-01,84.6
1902-12-01,83.4
1903-01-01,81.8
1903-02-01,79.8
1903-03-01,77.7
1903-04-01,75.6
1903-05-01,73.5
1903-06-01,71.5
1903-07-01,69.7
1903-08-01,68.1
1903-09-01,66.8
1903-10-01,65.7
1903-11-01,64.9
1903-12-01,64.4
1904-01-01,64.3
1904-02-01,64.5
1904-03-01,65.1
1904-04-01,66.1
1904-05-01,67.5
1904-06-01,69.1
1904-07-01,71
1904-08-01,73.1
1904-09-01,75.4
1904-10-01,77.8
1904-11-01,80.1
1904-12-01,82.5
1905-01-01,84.9
1905-02-01,87.1
1905-03-01,89.1
1905-04-01,90.9
1905-05-01,92.3
1905-06-01,93.5
1905-07-01,94.3
1905-08-01,94.9
1905-09-01,95.2
1905-10-01,95.5
1905-11-01,95.7
1905-12-01,96
1906-01-01,96.4
1906-02-01,96.9
1906-03-01,97.6
1906-04-01,98.3
1906-05-01,98.9
1906-06-01,99.5
1906-07-01,99.9
1906-08-01,100
1906-09-01,99.9
1906-10-01,99.5
1906-11-01,98.7
1906-12-01,97.5
1907-01-01,95.8
1907-02-01,93.6
1907-03-01,91
1907-04-01,88.1
1907-05-01,85
1907-06-01,82
1907-07-01,79.2
1907-08-01,76.8
1907-09-01,74.9
1907-10-01,73.5
1907-11-01,72.7
1907-12-01,72.4
1908-01-01,72.7
1908-02-01,73.3
1908-03-01,74.4
1908-04-01,75.8
1908-05-01,77.6
1908-06-01,79.5
1908-07-01,81.7
1908-08-01,84
1908-09-01,86.3
1908-10-01,88.5
1908-11-01,90.7
1908-12-01,92.7
1909-01-01,94.6
1909-02-01,96.2
1909-03-01,97.9
1909-04-01,99.5
1909-05-01,100.9
1909-06-01,102.3
1909-07-01,103.4
1909-08-01,104.2
1909-09-01,104.7
1909-10-01,104.7
1909-11-01,104.2
1909-12-01,103.5
1910-01-01,102.2
1910-02-01,100.7
1910-03-01,99.2
1910-04-01,97.6
1910-05-01,96.2
1910-06-01,94.9
1910-07-01,93.9
1910-08-01,93.2
1910-09-01,92.9
1910-10-01,92.8
1910-11-01,93
1910-12-01,93.3
1911-01-01,93.7
1911-02-01,94.1
1911-03-01,94.4
1911-04-01,94.7
1911-05-01,94.7
1911-06-01,94.6
1911-07-01,94.3
1911-08-01,94
1911-09-01,93.6
1911-10-01,93.3
1911-11-01,93.1
1911-12-01,93.1
1912-01-01,93.3
1912-02-01,93.7
1912-03-01,94.3
1912-04-01,94.9
1912-05-01,95.6
1912-06-01,96.2
1912-07-01,96.5
1912-08-01,96.6
1912-09-01,96.4
1912-10-01,95.9
1912-11-01,94.9
1912-12-01,93.8
1913-01-01,92.5
1913-02-01,91
1913-03-01,89.5
1913-04-01,88.1
1913-05-01,86.8
1913-06-01,85.6
1913-07-01,84.7
1913-08-01,84
1913-09-01,83.5
1913-10-01,83.1
1913-11-01,82.8
1913-12-01,82.4
1914-01-01,82
1914-02-01,81.5
1914-03-01,80.8
1914-04-01,80
1914-05-01,79
1914-06-01,78.1
1914-07-01,77
1914-08-01,75.9
1914-09-01,75
1914-10-01,74.1
1914-11-01,73.3
1914-12-01,72.9
1915-01-01,72.6
1915-02-01,72.7
1915-03-01,73
1915-04-01,73.6
1915-05-01,74.4
1915-06-01,75.4
1915-07-01,76.3
1915-08-01,77.3
1915-09-01,78.3
1915-10-01,79.1
1915-11-01,79.9
1915-12-01,80.6
1916-01-01,81.3
1916-02-01,81.9
1916-03-01,82.4
1916-04-01,82.7
1916-05-01,83
1916-06-01,83.1
1916-07-01,83.2
1916-08-01,83.1
1916-09-01,82.9
1916-10-01,82.7
1916-11-01,82.4
1916-12-01,81.9
1917-01-01,81.2
1917-02-01,80.3
1917-03-01,79
1917-04-01,77.4
1917-05-01,75.6
1917-06-01,73.6
1917-07-01,71.6
1917-08-01,69.6
1917-09-01,67.8
1917-10-01,66.2
1917-11-01,64.8
1917-12-01,63.7
1918-01-01,63
1918-02-01,62.5
1918-03-01,62.3
1918-04-01,62.4
1918-05-01,62.7
1918-06-01,63.3
1918-07-01,64
1918-08-01,64.8
1918-09-01,65.6
1918-10-01,66.5
1918-11-01,67.3
1918-12-01,67.9
1919-01-01,68.4
1919-02-01,68.7
1919-03-01,68.8
1919-04-01,68.7
1919-05-01,68.4
1919-06-01,67.9
1919-07-01,67.1
1919-08-01,66.2
1919-09-01,65.1
1919-10-01,63.9
1919-11-01,62.8
1919-12-01,61.8
1920-01-01,60.9
1920-02-01,60.2
1920-03-01,59.7
1920-04-01,59.5
1920-05-01,59.5
1920-06-01,59.6
1920-07-01,59.8
1920-08-01,60
1920-09-01,60.1
1920-10-01,60.2
1920-11-01,60
1920-12-01,59.8
1921-01-01,59.3
1921-02-01,58.8
1921-03-01,58.1
1921-04-01,57.5
1921-05-01,56.8
1921-06-01,56.3
1921-07-01,56
1921-08-01,56
1921-09-01,56.2
1921-10-01,56.8
1921-11-01,57.7
1921-12-01,58.9
1922-01-01,60.2
1922-02-01,61.7
1922-03-01,63.3
1922-04-01,64.9
1922-05-01,66.4
1922-06-01,67.7
1922-07-01,68.9
1922-08-01,69.9
1922-09-01,70.6
1922-10-01,71
1922-11-01,71
1922-12-01,70.7
1923-01-01,70.1
1923-02-01,69.3
1923-03-01,68.3
1923-04-01,67.3
1923-05-01,66.3
1923-06-01,65.4
1923-07-01,64.7
1923-08-01,64
1923-09-01,63.5
1923-10-01,63.2
1923-11-01,63.1
1923-12-01,63.2
1924-01-01,63.5
1924-02-01,64
1924-03-01,64.8
1924-04-01,65.9
1924-05-01,67.2
1924-06-01,68.6
1924-07-01,70
1924-08-01,71.5
1924-09-01,72.9
1924-10-01,74.2
1924-11-01,75.3
1924-12-01,76.4
1925-01-01,77.3
1925-02-01,78.2
1925-03-01,79
1925-04-01,79.8
1925-05-01,80.5
1925-06-01,81.2
1925-07-01,82
1925-08-01,82.7
1925-09-01,83.4
1925-10-01,84.2
1925-11-01,85
1925-12-01,85.9
1926-01-01,86.8
1926-02-01,87.7
