"Date","M1218BUSM144NNBR"
1928-01-01,467
1928-02-01,434
1928-03-01,479
1928-04-01,481
1928-05-01,480
1928-06-01,512
1928-07-01,438
1928-08-01,429
1928-09-01,458
1928-10-01,505
1928-11-01,484
1928-12-01,537
1929-01-01,507
1929-02-01,489
1929-03-01,504
1929-04-01,499
1929-05-01,478
1929-06-01,492
1929-07-01,507
1929-08-01,502
1929-09-01,498
1929-10-01,575
1929-11-01,546
1929-12-01,499
1930-01-01,477
1930-02-01,445
1930-03-01,466
1930-04-01,466
1930-05-01,458
1930-06-01,486
1930-07-01,448
1930-08-01,407
1930-09-01,424
1930-10-01,469
1930-11-01,408
1930-12-01,472
1931-01-01,446
1931-02-01,389
1931-03-01,399
1931-04-01,422
1931-05-01,398
1931-06-01,431
1931-07-01,399
1931-08-01,358
1931-09-01,377
1931-10-01,406
1931-11-01,338
1931-12-01,394
1932-01-01,372
1932-02-01,326
1932-03-01,323
1932-04-01,357
1932-05-01,306
1932-06-01,333
1932-07-01,313
1932-08-01,287
1932-09-01,297
1932-10-01,304
1932-11-01,280
1932-12-01,323
1933-01-01,306
1933-02-01,300
1933-03-01,252
1933-04-01,285
1933-05-01,292
1933-06-01,338
1933-07-01,339
1933-08-01,302
1933-09-01,306
1933-10-01,316
1933-11-01,299
1933-12-01,325
1934-01-01,320
1934-02-01,309
1934-03-01,334
1934-04-01,347
1934-05-01,335
1934-06-01,359
1934-07-01,325
1934-08-01,314
1934-09-01,306
1934-10-01,333
1934-11-01,317
1934-12-01,359
1935-01-01,343
1935-02-01,330
1935-03-01,360
1935-04-01,367
1935-05-01,351
1935-06-01,366
1935-07-01,368
1935-08-01,343
1935-09-01,340
1935-10-01,367
1935-11-01,373
1935-12-01,404
1936-01-01,376
1936-02-01,360
1936-03-01,382
1936-04-01,389
1936-05-01,366
1936-06-01,414
1936-07-01,390
1936-08-01,354
1936-09-01,376
1936-10-01,417
1936-11-01,390
1936-12-01,471
1937-01-01,409
1937-02-01,389
1937-03-01,428
1937-04-01,413
1937-05-01,384
1937-06-01,412
1937-07-01,399
1937-08-01,365
1937-09-01,386
1937-10-01,407
1937-11-01,388
1937-12-01,434
1938-01-01,366
1938-02-01,339
1938-03-01,369
1938-04-01,364
1938-05-01,340
1938-06-01,376
1938-07-01,347
1938-08-01,336
1938-09-01,356
1938-10-01,377
1938-11-01,369
1938-12-01,439
1939-01-01,372
1939-02-01,353
1939-03-01,384
1939-04-01,369
1939-05-01,377
1939-06-01,410
1939-07-01,373
1939-08-01,371
1939-09-01,398
1939-10-01,396
1939-11-01,401
