"Date","M13057USM193NNBR"
1945-01-01,1.31
1945-02-01,1.22
1945-03-01,1.18
1945-04-01,1.14
1945-05-01,1.16
1945-06-01,1.16
1945-07-01,1.16
1945-08-01,1.17
1945-09-01,1.19
1945-10-01,1.17
1945-11-01,1.14
1945-12-01,1.15
1946-01-01,1.1
1946-02-01,1.03
1946-03-01,0.99
1946-04-01,1.12
1946-05-01,1.18
1946-06-01,1.15
1946-07-01,1.13
1946-08-01,1.14
1946-09-01,1.22
1946-10-01,1.24
1946-11-01,1.22
1946-12-01,1.22
1947-01-01,1.26
1947-02-01,1.26
1947-03-01,1.24
1947-04-01,1.24
1947-05-01,1.27
1947-06-01,1.29
1947-07-01,1.33
1947-08-01,1.31
1947-09-01,1.28
1947-10-01,1.35
1947-11-01,1.47
1947-12-01,1.54
1948-01-01,1.63
1948-02-01,1.63
1948-03-01,1.6
1948-04-01,1.58
1948-05-01,1.51
1948-06-01,1.49
1948-07-01,1.56
1948-08-01,1.65
1948-09-01,1.69
1948-10-01,1.71
1948-11-01,1.69
1948-12-01,1.64
1949-01-01,1.59
1949-02-01,1.57
1949-03-01,1.54
1949-04-01,1.53
1949-05-01,1.49
1949-06-01,1.42
1949-07-01,1.26
1949-08-01,1.26
1949-09-01,1.34
1949-10-01,1.38
1949-11-01,1.37
1949-12-01,1.37
1950-01-01,1.39
1950-02-01,1.44
1950-03-01,1.45
1950-04-01,1.45
1950-05-01,1.45
1950-06-01,1.47
1950-07-01,1.45
1950-08-01,1.45
1950-09-01,1.55
1950-10-01,1.65
1950-11-01,1.62
1950-12-01,1.64
1951-01-01,1.66
1951-02-01,1.67
1951-03-01,1.86
1951-04-01,2.03
1951-05-01,2.04
1951-06-01,2
1951-07-01,1.94
1951-08-01,1.89
1951-09-01,1.93
1951-10-01,2
1951-11-01,2.01
1951-12-01,2.09
1952-01-01,2.08
1952-02-01,2.07
1952-03-01,2.02
1952-04-01,1.93
1952-05-01,1.95
1952-06-01,2.04
1952-07-01,2.14
1952-08-01,2.29
1952-09-01,2.28
1952-10-01,2.26
1952-11-01,2.25
1952-12-01,2.3
1953-01-01,2.39
1953-02-01,2.42
1953-03-01,2.46
1953-04-01,2.61
1953-05-01,2.86
1953-06-01,2.92
1953-07-01,2.72
1953-08-01,2.77
1953-09-01,2.69
1953-10-01,2.36
1953-11-01,2.36
1953-12-01,2.2
1954-01-01,2.04
1954-02-01,1.84
1954-03-01,1.8
1954-04-01,1.71
1954-05-01,1.78
1954-06-01,1.79
1954-07-01,1.69
1954-08-01,1.74
1954-09-01,1.8
1954-10-01,1.85
1954-11-01,1.9
1954-12-01,1.94
1955-01-01,2.11
1955-02-01,2.18
1955-03-01,2.3
1955-04-01,2.39
1955-05-01,2.4
1955-06-01,2.42
1955-07-01,2.54
1955-08-01,2.73
1955-09-01,2.72
1955-10-01,2.58
1955-11-01,2.7
1955-12-01,2.83
1956-01-01,2.74
1956-02-01,2.65
1956-03-01,2.83
1956-04-01,3.11
1956-05-01,3.04
1956-06-01,2.87
1956-07-01,2.97
1956-08-01,3.36
1956-09-01,3.43
1956-10-01,3.29
1956-11-01,3.49
1956-12-01,3.65
1957-01-01,3.4
1957-02-01,3.33
1957-03-01,3.38
1957-04-01,3.48
1957-05-01,3.6
1957-06-01,3.77
1957-07-01,3.89
1957-08-01,3.91
1957-09-01,3.93
1957-10-01,3.99
1957-11-01,3.63
1957-12-01,3.04
1958-01-01,2.77
1958-02-01,2.67
1958-03-01,2.5
1958-04-01,2.33
1958-05-01,2.25
1958-06-01,2.25
1958-07-01,2.54
1958-08-01,3.11
1958-09-01,3.57
1958-10-01,3.63
1958-11-01,3.6
1958-12-01,3.65
1959-01-01,3.86
1959-02-01,3.85
1959-03-01,3.88
1959-04-01,4.03
1959-05-01,4.16
1959-06-01,4.33
1959-07-01,4.4
1959-08-01,4.45
1959-09-01,4.78
1959-10-01,4.69
1959-11-01,4.74
1959-12-01,4.95
1960-01-01,4.87
1960-02-01,4.66
1960-03-01,4.24
1960-04-01,4.23
1960-05-01,4.42
1960-06-01,4.06
1960-07-01,3.71
1960-08-01,3.5
1960-09-01,3.5
1960-10-01,3.61
1960-11-01,3.68
1960-12-01,3.51
1961-01-01,3.53
1961-02-01,3.54
1961-03-01,3.43
1961-04-01,3.39
1961-05-01,3.28
1961-06-01,3.7
1961-07-01,3.69
1961-08-01,3.8
1961-09-01,3.77
1961-10-01,3.64
1961-11-01,3.68
1961-12-01,3.82
1962-01-01,3.84
1962-02-01,3.77
1962-03-01,3.55
1962-04-01,3.48
1962-05-01,3.53
1962-06-01,3.51
1962-07-01,3.71
1962-08-01,3.57
1962-09-01,3.56
1962-10-01,3.46
1962-11-01,3.46
1962-12-01,3.44
1963-01-01,3.47
1963-02-01,3.48
1963-03-01,3.5
1963-04-01,3.56
1963-05-01,3.57
1963-06-01,3.67
1963-07-01,3.78
1963-08-01,3.81
1963-09-01,3.88
1963-10-01,3.91
1963-11-01,3.97
1963-12-01,4.04
1964-01-01,4.06
1964-02-01,4.02
1964-03-01,4.15
1964-04-01,4.18
1964-05-01,4.07
1964-06-01,4.03
1964-07-01,3.99
1964-08-01,3.99
1964-09-01,4.03
1964-10-01,4.04
1964-11-01,4.04
1964-12-01,4.07
1965-01-01,4.06
1965-02-01,4.08
1965-03-01,4.12
1965-04-01,4.12
1965-05-01,4.11
1965-06-01,4.09
1965-07-01,4.1
1965-08-01,4.19
1965-09-01,4.24
1965-10-01,4.33
1965-11-01,4.46
1965-12-01,4.77
