"Date","MISLIND"
1982-01-01,-3.44
1982-02-01,-1.91
1982-03-01,-0.97
1982-04-01,-0.33
1982-05-01,0.94
1982-06-01,0.3
1982-07-01,-0.39
1982-08-01,-0.91
1982-09-01,-1.92
1982-10-01,-1.99
1982-11-01,0.45
1982-12-01,2.1
1983-01-01,3.2
1983-02-01,4.46
1983-03-01,4.91
1983-04-01,5.47
1983-05-01,4.96
1983-06-01,4.55
1983-07-01,4.13
1983-08-01,3.76
1983-09-01,4.74
1983-10-01,4.38
1983-11-01,5.13
1983-12-01,4.1
1984-01-01,3.66
1984-02-01,2.57
1984-03-01,2.17
1984-04-01,2.68
1984-05-01,1.75
1984-06-01,1.31
1984-07-01,1.54
1984-08-01,1.89
1984-09-01,1.62
1984-10-01,1.27
1984-11-01,1.29
1984-12-01,2.52
1985-01-01,3.46
1985-02-01,1.61
1985-03-01,2.61
1985-04-01,2.44
1985-05-01,2.15
1985-06-01,1.56
1985-07-01,2.89
1985-08-01,3.17
1985-09-01,3.33
1985-10-01,4.48
1985-11-01,4.48
1985-12-01,3.56
1986-01-01,2.24
1986-02-01,1.2
1986-03-01,-0.07
1986-04-01,0.15
1986-05-01,1.16
1986-06-01,2
1986-07-01,1.77
1986-08-01,2.13
1986-09-01,2.22
1986-10-01,2.29
1986-11-01,1.88
1986-12-01,1.73
1987-01-01,1.55
1987-02-01,1.17
1987-03-01,0.58
1987-04-01,0.27
1987-05-01,0.73
1987-06-01,1.66
1987-07-01,1.05
1987-08-01,1.93
1987-09-01,1.51
1987-10-01,1.16
1987-11-01,0.97
1987-12-01,1.38
1988-01-01,1.09
1988-02-01,1.89
1988-03-01,3.23
1988-04-01,3.05
1988-05-01,2.05
1988-06-01,2.06
1988-07-01,2.1
1988-08-01,1.28
1988-09-01,1.58
1988-10-01,0.91
1988-11-01,1.8
1988-12-01,1.56
1989-01-01,1.92
1989-02-01,1.32
1989-03-01,0.29
1989-04-01,0.25
1989-05-01,-0.69
1989-06-01,-1.16
1989-07-01,-0.78
1989-08-01,-1.08
1989-09-01,-0.65
1989-10-01,-1.07
1989-11-01,-0.25
1989-12-01,0.93
1990-01-01,-0.16
1990-02-01,2.39
1990-03-01,1.94
1990-04-01,1.05
1990-05-01,0.02
1990-06-01,0.68
1990-07-01,0.26
1990-08-01,-0.98
1990-09-01,-1.28
1990-10-01,-1.49
1990-11-01,-2.1
1990-12-01,-2.27
1991-01-01,-2.57
1991-02-01,-2.33
1991-03-01,-1.42
1991-04-01,0.91
1991-05-01,2.03
1991-06-01,1.72
1991-07-01,2.77
1991-08-01,1.77
1991-09-01,1.41
1991-10-01,1.17
1991-11-01,0.57
1991-12-01,0.26
1992-01-01,-0.04
1992-02-01,1.75
1992-03-01,1.89
1992-04-01,1.9
1992-05-01,2.51
1992-06-01,2.01
1992-07-01,2.41
1992-08-01,2.79
1992-09-01,4.6
1992-10-01,3.96
1992-11-01,3.44
1992-12-01,3.29
1993-01-01,2.66
1993-02-01,2.82
1993-03-01,1.34
1993-04-01,2.13
1993-05-01,1.7
1993-06-01,1.39
1993-07-01,1.7
1993-08-01,1.02
1993-09-01,2.58
1993-10-01,2.09
1993-11-01,1.8
1993-12-01,1.34
1994-01-01,1.59
1994-02-01,2.73
1994-03-01,3.78
1994-04-01,3.63
1994-05-01,3.52
1994-06-01,2.11
1994-07-01,2.79
1994-08-01,2.69
1994-09-01,2.11
1994-10-01,2.31
1994-11-01,2.51
1994-12-01,2.25
1995-01-01,1.14
1995-02-01,0.74
1995-03-01,-0.71
1995-04-01,-0.66
1995-05-01,0.42
1995-06-01,1.49
1995-07-01,1.29
1995-08-01,1.58
1995-09-01,1.46
1995-10-01,1.9
1995-11-01,0.67
1995-12-01,1.18
1996-01-01,0.42
1996-02-01,0.72
1996-03-01,-0.05
1996-04-01,1.81
1996-05-01,1.02
1996-06-01,0.43
1996-07-01,-0.22
1996-08-01,1.02
1996-09-01,1.8
1996-10-01,1.51
1996-11-01,1.38
1996-12-01,1.62
1997-01-01,0.65
1997-02-01,0.45
1997-03-01,1.95
1997-04-01,2.15
1997-05-01,2.21
1997-06-01,0.38
1997-07-01,1.04
1997-08-01,0.07
1997-09-01,1.32
1997-10-01,0.27
1997-11-01,0.33
1997-12-01,0.65
1998-01-01,1.77
1998-02-01,1.64
1998-03-01,1.15
1998-04-01,0.51
1998-05-01,0.79
1998-06-01,0.13
1998-07-01,-4.83
1998-08-01,3.6
1998-09-01,2.67
1998-10-01,-0.23
1998-11-01,-0.98
1998-12-01,1.62
1999-01-01,0.33
1999-02-01,0.44
1999-03-01,0.68
1999-04-01,1.04
1999-05-01,0.42
1999-06-01,0.39
1999-07-01,1.94
1999-08-01,1.05
1999-09-01,0.38
1999-10-01,0.12
1999-11-01,1.25
1999-12-01,1.93
2000-01-01,2
2000-02-01,1.47
2000-03-01,0.69
2000-04-01,0.05
2000-05-01,-1.29
2000-06-01,-1.46
2000-07-01,-0.91
2000-08-01,0.3
2000-09-01,-0.9
2000-10-01,-0.19
2000-11-01,-0.43
2000-12-01,-1.18
2001-01-01,-2.61
2001-02-01,-1.47
2001-03-01,-0.84
2001-04-01,-0.23
2001-05-01,-0.27
2001-06-01,0.06
2001-07-01,-0.67
2001-08-01,-1
2001-09-01,-1.64
2001-10-01,-1.74
2001-11-01,-1.16
2001-12-01,-0.99
2002-01-01,0.18
2002-02-01,0.7
2002-03-01,1.75
2002-04-01,2.46
2002-05-01,2.66
2002-06-01,1.96
2002-07-01,1.54
2002-08-01,1.78
2002-09-01,1.62
2002-10-01,0.92
2002-11-01,-0.45
2002-12-01,-0.93
2003-01-01,-1.11
2003-02-01,-1.05
2003-03-01,-0.34
2003-04-01,0
2003-05-01,0.58
2003-06-01,0.31
2003-07-01,0.81
2003-08-01,1.59
2003-09-01,3.41
2003-10-01,3.56
2003-11-01,3.06
2003-12-01,2.1
2004-01-01,1.58
2004-02-01,1.19
2004-03-01,0.81
2004-04-01,0.78
2004-05-01,0.73
2004-06-01,0.62
2004-07-01,0.79
2004-08-01,0.89
2004-09-01,0.92
2004-10-01,-0.05
2004-11-01,0.51
2004-12-01,1.21
2005-01-01,0.92
2005-02-01,2.74
2005-03-01,1.07
2005-04-01,1.69
2005-05-01,1.76
2005-06-01,1.51
2005-07-01,0.03
2005-08-01,-0.98
2005-09-01,1
2005-10-01,0.47
2005-11-01,-0.59
2005-12-01,-1.44
2006-01-01,-0.28
2006-02-01,-0.5
2006-03-01,-0.24
2006-04-01,-0.75
2006-05-01,-0.36
2006-06-01,-0.77
2006-07-01,-1.47
2006-08-01,-0.41
2006-09-01,-0.21
2006-10-01,0.26
2006-11-01,-0.24
2006-12-01,-0.38
2007-01-01,-0.78
2007-02-01,0.25
2007-03-01,0.27
2007-04-01,-0.91
2007-05-01,-0.99
2007-06-01,-1.83
2007-07-01,-1.52
2007-08-01,-0.37
2007-09-01,-0.46
2007-10-01,-0.76
2007-11-01,0.4
2007-12-01,0.33
2008-01-01,0.45
2008-02-01,-1.05
2008-03-01,-1.77
2008-04-01,-1.44
2008-05-01,-0.97
2008-06-01,-0.7
2008-07-01,-1.83
2008-08-01,-1.68
2008-09-01,-0.55
2008-10-01,-2.29
2008-11-01,-4.02
2008-12-01,-4.34
2009-01-01,-8.74
2009-02-01,-7.75
2009-03-01,-7.38
2009-04-01,-4.39
2009-05-01,-3
2009-06-01,-1.86
2009-07-01,2.78
2009-08-01,4.06
2009-09-01,4.49
2009-10-01,2.79
2009-11-01,1.95
2009-12-01,2.14
2010-01-01,1.54
2010-02-01,2.76
2010-03-01,3.59
2010-04-01,4.49
2010-05-01,4.04
2010-06-01,3.08
2010-07-01,3.06
2010-08-01,1.77
2010-09-01,1.43
2010-10-01,2.16
2010-11-01,4.12
2010-12-01,3
2011-01-01,3.52
2011-02-01,2.76
2011-03-01,2.53
2011-04-01,2.03
2011-05-01,0.56
2011-06-01,0.91
2011-07-01,1.31
2011-08-01,2.08
2011-09-01,3.41
2011-10-01,3.18
2011-11-01,3.88
2011-12-01,3.03
2012-01-01,2.87
2012-02-01,1.8
2012-03-01,1.38
2012-04-01,0.58
2012-05-01,0.53
2012-06-01,1
2012-07-01,1.83
2012-08-01,1.69
2012-09-01,1.18
2012-10-01,1.41
2012-11-01,1.17
2012-12-01,0.73
2013-01-01,1.27
2013-02-01,1.22
2013-03-01,1.66
2013-04-01,1.5
2013-05-01,1.45
2013-06-01,1.66
2013-07-01,1.1
2013-08-01,1.53
2013-09-01,1.96
2013-10-01,1.62
2013-11-01,1.95
2013-12-01,2.67
2014-01-01,2.96
2014-02-01,2.3
2014-03-01,2.21
2014-04-01,1.66
2014-05-01,2.33
2014-06-01,2.51
2014-07-01,2.9
2014-08-01,1.91
2014-09-01,2.8
2014-10-01,3.38
2014-11-01,2.64
2014-12-01,2.89
2015-01-01,2.06
2015-02-01,1.09
2015-03-01,0.98
2015-04-01,1.25
2015-05-01,2.03
2015-06-01,1.32
2015-07-01,2.93
2015-08-01,2.08
2015-09-01,1.81
2015-10-01,1.41
2015-11-01,1.98
2015-12-01,1.7
2016-01-01,0.84
2016-02-01,1.25
2016-03-01,1.36
2016-04-01,1.53
2016-05-01,0.53
2016-06-01,0.95
2016-07-01,0.99
2016-08-01,0.66
2016-09-01,0.18
2016-10-01,0.23
2016-11-01,1.17
2016-12-01,1.09
2017-01-01,1.73
2017-02-01,2.38
2017-03-01,2.67
2017-04-01,2.35
2017-05-01,1.18
2017-06-01,0.04
2017-07-01,-0.18
2017-08-01,0.52
2017-09-01,0.13
2017-10-01,0.24
2017-11-01,0.98
2017-12-01,0.81
2018-01-01,2.1
2018-02-01,2.07
2018-03-01,1.19
2018-04-01,0.51
2018-05-01,0.8
2018-06-01,1.44
2018-07-01,0.43
2018-08-01,1.04
2018-09-01,-0.33
2018-10-01,-0.55
2018-11-01,-0.34
2018-12-01,-0.4
2019-01-01,-0.79
2019-02-01,-0.39
2019-03-01,-0.09
2019-04-01,0.05
2019-05-01,0.68
2019-06-01,0.45
2019-07-01,1.03
2019-08-01,0.74
2019-09-01,0.61
2019-10-01,-0.03
2019-11-01,0.24
2019-12-01,0.89
2020-01-01,1.07
2020-02-01,2.58
