"Date","NDR1MCD"
2021-04-01,0.03
2021-05-01,0.02
2021-06-01,0.03
2021-07-01,0.03
2021-08-01,0.03
2021-09-01,0.03
2021-10-01,0.03
2021-11-01,0.03
2021-12-01,0.02
2022-01-01,0.03
2022-02-01,0.03
2022-03-01,0.03
2022-04-01,0.03
2022-05-01,0.03
2022-06-01,0.03
2022-07-01,0.05
2022-08-01,0.06
2022-09-01,0.07
2022-10-01,0.09
2022-11-01,0.1
2022-12-01,0.13
2023-01-01,0.15
2023-02-01,0.18
2023-03-01,0.18
2023-04-01,0.18
2023-05-01,0.24
2023-06-01,0.26
2023-07-01,0.2
2023-08-01,0.2
2023-09-01,0.21
2023-10-01,0.22
2023-11-01,0.22
