"Date","NDRRCA6MCD"
2021-04-01,0.85
2021-05-01,0.84
2021-06-01,0.84
2021-07-01,0.84
2021-08-01,0.84
2021-09-01,0.84
2021-10-01,0.84
2021-11-01,0.84
2021-12-01,0.84
2022-01-01,0.84
2022-02-01,0.84
2022-03-01,0.84
2022-04-01,0.84
2022-05-01,0.85
2022-06-01,0.87
2022-07-01,0.97
2022-08-01,1.02
2022-09-01,1.09
2022-10-01,1.17
2022-11-01,1.27
2022-12-01,1.4
2023-01-01,1.56
2023-02-01,1.64
2023-03-01,1.72
2023-04-01,1.72
2023-05-01,1.78
2023-06-01,1.94
2023-07-01,2.05
2023-08-01,2.05
2023-09-01,2.11
2023-10-01,2.14
2023-11-01,2.14
