"Date","PASLIND"
1982-01-01,-2.18
1982-02-01,-1.59
1982-03-01,-1.62
1982-04-01,-1.18
1982-05-01,-1.34
1982-06-01,-1.63
1982-07-01,-1.7
1982-08-01,-2.28
1982-09-01,-2.4
1982-10-01,-2.06
1982-11-01,-1.26
1982-12-01,-0.39
1983-01-01,0.07
1983-02-01,0.65
1983-03-01,1.83
1983-04-01,2.84
1983-05-01,3.59
1983-06-01,3.99
1983-07-01,4.44
1983-08-01,3.56
1983-09-01,3.6
1983-10-01,3.87
1983-11-01,3.99
1983-12-01,3.45
1984-01-01,3.18
1984-02-01,3.03
1984-03-01,2.5
1984-04-01,2.14
1984-05-01,1.69
1984-06-01,1.63
1984-07-01,2.14
1984-08-01,1.67
1984-09-01,1.69
1984-10-01,1.65
1984-11-01,2.03
1984-12-01,1.43
1985-01-01,1.34
1985-02-01,1.45
1985-03-01,1.94
1985-04-01,1.77
1985-05-01,1.44
1985-06-01,1.75
1985-07-01,1.84
1985-08-01,1.83
1985-09-01,2.37
1985-10-01,2.44
1985-11-01,2.09
1985-12-01,1.6
1986-01-01,1.8
1986-02-01,1.25
1986-03-01,1.77
1986-04-01,2.15
1986-05-01,2.13
1986-06-01,2.2
1986-07-01,1.7
1986-08-01,2.36
1986-09-01,2.42
1986-10-01,1.8
1986-11-01,1.97
1986-12-01,2.36
1987-01-01,2.44
1987-02-01,2.33
1987-03-01,2.22
1987-04-01,2.14
1987-05-01,1.66
1987-06-01,1.64
1987-07-01,1.79
1987-08-01,1.43
1987-09-01,1.45
1987-10-01,2.42
1987-11-01,2.06
1987-12-01,1.42
1988-01-01,1.47
1988-02-01,1.98
1988-03-01,1.97
1988-04-01,1.8
1988-05-01,1.32
1988-06-01,1.71
1988-07-01,2.04
1988-08-01,1.77
1988-09-01,1.07
1988-10-01,1.49
1988-11-01,2.01
1988-12-01,1.88
1989-01-01,1.85
1989-02-01,1.75
1989-03-01,1.08
1989-04-01,0.91
1989-05-01,0.4
1989-06-01,0.31
1989-07-01,-0.01
1989-08-01,0.27
1989-09-01,0.29
1989-10-01,-0.26
1989-11-01,-0.09
1989-12-01,0.51
1990-01-01,0.89
1990-02-01,0.92
1990-03-01,0.99
1990-04-01,0.56
1990-05-01,0.03
1990-06-01,0.45
1990-07-01,0.09
1990-08-01,-0.73
1990-09-01,-1.13
1990-10-01,-1.37
1990-11-01,-1.17
1990-12-01,-1.11
1991-01-01,-1.64
1991-02-01,-1.39
1991-03-01,-0.78
1991-04-01,-0.75
1991-05-01,-0.11
1991-06-01,0.83
1991-07-01,0.84
1991-08-01,1.43
1991-09-01,0.82
1991-10-01,0.34
1991-11-01,0.21
1991-12-01,0.1
1992-01-01,0.21
1992-02-01,0.21
1992-03-01,0.75
1992-04-01,0.6
1992-05-01,1.24
1992-06-01,1.47
1992-07-01,1.39
1992-08-01,1.17
1992-09-01,1.46
1992-10-01,1.91
1992-11-01,2
1992-12-01,1.56
1993-01-01,2.33
1993-02-01,2.72
1993-03-01,1.33
1993-04-01,1.42
1993-05-01,1.5
1993-06-01,1.28
1993-07-01,1.79
1993-08-01,1.69
1993-09-01,1.74
1993-10-01,1.81
1993-11-01,1.7
1993-12-01,1.81
1994-01-01,0.84
1994-02-01,1.13
1994-03-01,0.9
1994-04-01,1.68
1994-05-01,1.93
1994-06-01,2.19
1994-07-01,1.74
1994-08-01,1.85
1994-09-01,2.01
1994-10-01,2.02
1994-11-01,1.79
1994-12-01,1.95
1995-01-01,1.15
1995-02-01,1.23
1995-03-01,0.59
1995-04-01,0.48
1995-05-01,-0.14
1995-06-01,0.39
1995-07-01,0.43
1995-08-01,0.71
1995-09-01,0.86
1995-10-01,0.89
1995-11-01,0.69
1995-12-01,0.78
1996-01-01,-0.36
1996-02-01,1.19
1996-03-01,1.44
1996-04-01,1.82
1996-05-01,2.43
1996-06-01,2.48
1996-07-01,2.06
1996-08-01,2.1
1996-09-01,1.34
1996-10-01,1.7
1996-11-01,1.25
1996-12-01,0.97
1997-01-01,0.7
1997-02-01,1.03
1997-03-01,1.26
1997-04-01,0.99
1997-05-01,1.04
1997-06-01,1.39
1997-07-01,1.45
1997-08-01,1.32
1997-09-01,1.67
1997-10-01,1.97
1997-11-01,1.98
1997-12-01,1.77
1998-01-01,1.24
1998-02-01,0.92
1998-03-01,1.17
1998-04-01,1
1998-05-01,0.88
1998-06-01,0.63
1998-07-01,0.59
1998-08-01,0.87
1998-09-01,1.14
1998-10-01,0.97
1998-11-01,1.12
1998-12-01,1.52
1999-01-01,1.24
1999-02-01,1.52
1999-03-01,1.09
1999-04-01,0.88
1999-05-01,0.9
1999-06-01,1.16
1999-07-01,1.06
