"Date","RISLIND"
1982-01-01,-2.53
1982-02-01,-1.57
1982-03-01,-1.19
1982-04-01,-1
1982-05-01,-0.41
1982-06-01,0.23
1982-07-01,-0.17
1982-08-01,0.48
1982-09-01,0.29
1982-10-01,0.88
1982-11-01,1.85
1982-12-01,2.8
1983-01-01,4.11
1983-02-01,4.37
1983-03-01,5.55
1983-04-01,4.89
1983-05-01,5.25
1983-06-01,4.54
1983-07-01,4.1
1983-08-01,4.61
1983-09-01,5.33
1983-10-01,5.38
1983-11-01,5.82
1983-12-01,3.98
1984-01-01,4.38
1984-02-01,3.75
1984-03-01,3.63
1984-04-01,3.26
1984-05-01,4.26
1984-06-01,4.3
1984-07-01,4.17
1984-08-01,3.31
1984-09-01,2.52
1984-10-01,2.13
1984-11-01,1.65
1984-12-01,1.59
1985-01-01,1.69
1985-02-01,1.4
1985-03-01,1.5
1985-04-01,2.54
1985-05-01,3.53
1985-06-01,3.21
1985-07-01,2.76
1985-08-01,2.97
1985-09-01,3.41
1985-10-01,3.49
1985-11-01,3.42
1985-12-01,2.31
1986-01-01,1.98
1986-02-01,1.69
1986-03-01,1.2
1986-04-01,1.04
1986-05-01,1.08
1986-06-01,1.27
1986-07-01,1.29
1986-08-01,1.45
1986-09-01,0.81
1986-10-01,2.02
1986-11-01,1.38
1986-12-01,1.88
1987-01-01,2.58
1987-02-01,1.51
1987-03-01,0.81
1987-04-01,0.86
1987-05-01,0.67
1987-06-01,1.76
1987-07-01,1.74
1987-08-01,1.81
1987-09-01,1.69
1987-10-01,1.72
1987-11-01,1.03
1987-12-01,1.63
1988-01-01,2.48
1988-02-01,2.94
1988-03-01,1.7
1988-04-01,2.07
1988-05-01,1.01
1988-06-01,0.8
1988-07-01,0.9
1988-08-01,-0.05
1988-09-01,0.18
1988-10-01,0.01
1988-11-01,0.63
1988-12-01,-0.05
1989-01-01,0.43
1989-02-01,-0.31
1989-03-01,-1.17
1989-04-01,-1.18
1989-05-01,-0.8
1989-06-01,-0.87
1989-07-01,-1.95
1989-08-01,-2.31
1989-09-01,-2.38
1989-10-01,-1.96
1989-11-01,-1.46
1989-12-01,-1.17
1990-01-01,-0.32
1990-02-01,-0.35
1990-03-01,-1.12
1990-04-01,-2.22
1990-05-01,-2.93
1990-06-01,-2.47
1990-07-01,-2.1
1990-08-01,-1.9
1990-09-01,-2.08
1990-10-01,-1.42
1990-11-01,-2.33
1990-12-01,-3.39
1991-01-01,-4.3
1991-02-01,-3.78
1991-03-01,-2.48
1991-04-01,-0.99
1991-05-01,-0.1
1991-06-01,0.8
1991-07-01,1.1
1991-08-01,0.19
1991-09-01,0.44
