"Date","SDSLIND"
1982-01-01,1.08
1982-02-01,0.88
1982-03-01,-0.22
1982-04-01,-0.82
1982-05-01,-0.63
1982-06-01,-0.38
1982-07-01,-1
1982-08-01,-1.07
1982-09-01,-0.87
1982-10-01,0.35
1982-11-01,1.44
1982-12-01,2.57
1983-01-01,2.59
1983-02-01,3.15
1983-03-01,3.23
1983-04-01,3.4
1983-05-01,4.11
1983-06-01,4.91
1983-07-01,5.47
1983-08-01,4.34
1983-09-01,4.78
1983-10-01,3.7
1983-11-01,3.57
1983-12-01,2.71
1984-01-01,2.94
1984-02-01,3.05
1984-03-01,2.26
1984-04-01,1.99
1984-05-01,1.45
1984-06-01,1.75
1984-07-01,0.86
1984-08-01,1.08
1984-09-01,1.08
1984-10-01,0.04
1984-11-01,0.63
1984-12-01,0.43
1985-01-01,-0.2
1985-02-01,-0.88
1985-03-01,0.22
1985-04-01,0.91
1985-05-01,2.15
1985-06-01,1.28
1985-07-01,0.97
1985-08-01,2.04
1985-09-01,1.9
1985-10-01,1.66
1985-11-01,0.91
1985-12-01,1.63
1986-01-01,1.74
1986-02-01,2.7
1986-03-01,2.32
1986-04-01,1.76
1986-05-01,2.11
1986-06-01,2.23
1986-07-01,2.18
1986-08-01,2.91
1986-09-01,2.15
1986-10-01,1.98
1986-11-01,2.2
1986-12-01,2.1
1987-01-01,2.42
1987-02-01,2.1
1987-03-01,2.03
1987-04-01,1.73
1987-05-01,1.41
1987-06-01,1.57
1987-07-01,2.22
1987-08-01,1.66
1987-09-01,2.32
1987-10-01,2.5
1987-11-01,2
1987-12-01,1.56
1988-01-01,1.18
1988-02-01,1.66
1988-03-01,1.3
1988-04-01,2.59
1988-05-01,2.35
1988-06-01,3.51
1988-07-01,2
1988-08-01,1.25
1988-09-01,1.21
1988-10-01,1.39
1988-11-01,1.19
1988-12-01,1.49
1989-01-01,1.77
1989-02-01,2.03
1989-03-01,1.45
1989-04-01,1.45
1989-05-01,0.71
1989-06-01,1.4
1989-07-01,1.87
1989-08-01,1.94
1989-09-01,2.47
1989-10-01,2.52
1989-11-01,3.05
1989-12-01,3.22
1990-01-01,2.45
1990-02-01,1.68
1990-03-01,2.48
1990-04-01,2.74
1990-05-01,2.99
1990-06-01,2.37
1990-07-01,1.72
1990-08-01,1.55
1990-09-01,2.01
1990-10-01,1.2
1990-11-01,2.27
1990-12-01,1.86
1991-01-01,1.5
1991-02-01,1.33
1991-03-01,2.14
1991-04-01,2.31
1991-05-01,1.96
1991-06-01,1.7
1991-07-01,2.2
1991-08-01,2.03
1991-09-01,2
1991-10-01,2.31
1991-11-01,1.85
1991-12-01,1.59
1992-01-01,2.8
1992-02-01,2.82
1992-03-01,2.31
1992-04-01,1.48
1992-05-01,1.82
1992-06-01,1.16
1992-07-01,2.04
1992-08-01,2.11
1992-09-01,1.72
1992-10-01,1.6
1992-11-01,1.93
1992-12-01,1.33
1993-01-01,1.57
1993-02-01,1.71
1993-03-01,2.05
1993-04-01,1.71
1993-05-01,1.87
1993-06-01,2.62
1993-07-01,2.5
1993-08-01,2.19
1993-09-01,1.72
1993-10-01,2.12
1993-11-01,2.25
1993-12-01,1.95
1994-01-01,2.14
1994-02-01,1.73
1994-03-01,1.65
1994-04-01,1.56
1994-05-01,2.04
1994-06-01,2.21
1994-07-01,1.96
1994-08-01,1.54
1994-09-01,1.74
1994-10-01,1.73
1994-11-01,2.58
1994-12-01,2.99
1995-01-01,2.53
1995-02-01,2.55
1995-03-01,1.61
1995-04-01,0.83
1995-05-01,0.33
1995-06-01,1.02
1995-07-01,1.28
1995-08-01,1.39
1995-09-01,0.83
1995-10-01,0.97
1995-11-01,1.24
1995-12-01,1.79
1996-01-01,0.9
1996-02-01,1.06
1996-03-01,1.19
1996-04-01,1.83
1996-05-01,1.59
1996-06-01,1.67
1996-07-01,1.84
1996-08-01,2.41
1996-09-01,1.66
1996-10-01,1.62
1996-11-01,1.3
1996-12-01,1.05
1997-01-01,1.15
1997-02-01,2.72
1997-03-01,2.72
1997-04-01,1.76
1997-05-01,2.43
1997-06-01,1.83
1997-07-01,2.33
1997-08-01,1.59
1997-09-01,1.64
1997-10-01,1.32
1997-11-01,1.8
1997-12-01,1.64
1998-01-01,1.69
1998-02-01,1.49
1998-03-01,1.26
1998-04-01,1.89
1998-05-01,1.91
1998-06-01,1.51
1998-07-01,2.18
1998-08-01,2.31
1998-09-01,2.17
1998-10-01,1.62
1998-11-01,0.73
1998-12-01,0.85
1999-01-01,1.57
1999-02-01,1.85
1999-03-01,2.52
1999-04-01,2.11
1999-05-01,1.42
1999-06-01,1.36
1999-07-01,1.95
1999-08-01,1.73
1999-09-01,2.67
1999-10-01,2.67
1999-11-01,3.18
1999-12-01,2.9
2000-01-01,2.76
2000-02-01,1.88
2000-03-01,1.95
2000-04-01,1.91
2000-05-01,1.3
2000-06-01,0.87
2000-07-01,0.62
2000-08-01,0.25
2000-09-01,0.38
2000-10-01,1.09
2000-11-01,0.33
2000-12-01,0.63
2001-01-01,0.21
2001-02-01,-0.04
2001-03-01,-0.51
2001-04-01,-0.07
2001-05-01,-0.06
2001-06-01,0.22
2001-07-01,0.14
2001-08-01,1.02
2001-09-01,0.28
2001-10-01,0.19
2001-11-01,0.49
2001-12-01,0.19
2002-01-01,1.03
2002-02-01,1.56
2002-03-01,1.97
2002-04-01,2.5
2002-05-01,2
2002-06-01,2.63
2002-07-01,2.74
2002-08-01,2.13
2002-09-01,0.94
2002-10-01,0.62
2002-11-01,0.24
2002-12-01,0.31
2003-01-01,1.08
2003-02-01,0.48
2003-03-01,0.18
2003-04-01,0.29
2003-05-01,0.91
2003-06-01,0.28
2003-07-01,0.77
2003-08-01,1.37
2003-09-01,1.67
2003-10-01,1.79
2003-11-01,1.83
2003-12-01,1.84
2004-01-01,1.92
2004-02-01,1.71
2004-03-01,1.72
2004-04-01,1.69
2004-05-01,1.07
2004-06-01,0.9
2004-07-01,0.75
2004-08-01,0.16
2004-09-01,0.41
2004-10-01,1.01
2004-11-01,1.47
2004-12-01,0.63
2005-01-01,0.84
2005-02-01,0.69
2005-03-01,0.93
2005-04-01,1.24
2005-05-01,1.17
2005-06-01,2.37
2005-07-01,2.99
2005-08-01,2.3
2005-09-01,3.02
2005-10-01,3.05
2005-11-01,2.67
2005-12-01,2.2
2006-01-01,3.55
2006-02-01,3.71
2006-03-01,3.51
2006-04-01,2.52
2006-05-01,1.78
2006-06-01,0.59
2006-07-01,0.85
2006-08-01,0.71
2006-09-01,0.99
2006-10-01,1.11
2006-11-01,1.61
2006-12-01,2.72
2007-01-01,2.76
2007-02-01,2.04
2007-03-01,2.34
2007-04-01,2.61
2007-05-01,2.13
2007-06-01,0.75
2007-07-01,1.16
2007-08-01,1.5
2007-09-01,2.07
2007-10-01,2.06
2007-11-01,2.62
2007-12-01,1.89
2008-01-01,2.55
2008-02-01,1.8
2008-03-01,1.75
2008-04-01,0.62
2008-05-01,0.35
2008-06-01,-0.17
2008-07-01,-1.02
2008-08-01,-0.92
2008-09-01,-1.27
2008-10-01,-1.29
2008-11-01,-2.67
2008-12-01,-2.77
2009-01-01,-3.42
2009-02-01,-3.82
2009-03-01,-3.71
2009-04-01,-3.1
2009-05-01,-0.83
2009-06-01,0.39
2009-07-01,2.46
2009-08-01,1.93
2009-09-01,1.62
2009-10-01,1.28
2009-11-01,0.68
2009-12-01,0.9
2010-01-01,1.22
2010-02-01,1.29
2010-03-01,1.91
2010-04-01,2.28
2010-05-01,2.56
2010-06-01,2.09
2010-07-01,1.88
2010-08-01,1.27
2010-09-01,0.91
2010-10-01,1.16
2010-11-01,1.17
2010-12-01,0.96
2011-01-01,0.9
2011-02-01,1.71
2011-03-01,1.82
2011-04-01,2.45
2011-05-01,2.59
2011-06-01,2.77
2011-07-01,1.8
2011-08-01,2.36
2011-09-01,2.16
2011-10-01,2.64
2011-11-01,2.09
2011-12-01,2.65
2012-01-01,2.3
2012-02-01,2.54
2012-03-01,2.35
2012-04-01,2.24
2012-05-01,1.77
2012-06-01,1.67
2012-07-01,0.57
2012-08-01,1.46
2012-09-01,1.8
2012-10-01,2.28
2012-11-01,2.74
2012-12-01,3.39
2013-01-01,2.64
2013-02-01,2.44
2013-03-01,2.09
2013-04-01,1.55
2013-05-01,2.3
2013-06-01,2.04
2013-07-01,1.88
2013-08-01,2.2
2013-09-01,2.24
2013-10-01,1.88
2013-11-01,2.49
2013-12-01,1.87
2014-01-01,2.11
2014-02-01,2.42
2014-03-01,2.1
2014-04-01,1.73
2014-05-01,1.22
2014-06-01,2.26
2014-07-01,2.38
2014-08-01,2.84
2014-09-01,1.9
2014-10-01,1.66
2014-11-01,0.89
2014-12-01,1.52
2015-01-01,1.4
2015-02-01,1.76
2015-03-01,2.04
2015-04-01,1.83
2015-05-01,1.62
2015-06-01,1.8
2015-07-01,1.99
2015-08-01,1.79
2015-09-01,2.43
2015-10-01,2.97
2015-11-01,2.11
2015-12-01,1.62
2016-01-01,1.49
2016-02-01,2.43
2016-03-01,1.51
2016-04-01,1.21
2016-05-01,1.32
2016-06-01,0.72
2016-07-01,0.68
2016-08-01,0.62
2016-09-01,0.42
2016-10-01,1.04
2016-11-01,1.69
2016-12-01,1.47
2017-01-01,1.55
2017-02-01,0.91
2017-03-01,1.23
2017-04-01,1.6
2017-05-01,1.55
2017-06-01,1.51
2017-07-01,1.37
2017-08-01,0.66
2017-09-01,1.26
2017-10-01,1.73
2017-11-01,1.38
2017-12-01,1.2
2018-01-01,1.52
2018-02-01,1.71
2018-03-01,2.32
2018-04-01,1.53
2018-05-01,1.78
2018-06-01,1.87
2018-07-01,1.99
2018-08-01,1.65
2018-09-01,1.2
2018-10-01,1.15
2018-11-01,0.93
2018-12-01,0.08
2019-01-01,0.31
2019-02-01,0.42
2019-03-01,0.09
2019-04-01,0.54
2019-05-01,0.38
2019-06-01,0.88
2019-07-01,1.19
2019-08-01,1.48
2019-09-01,0.76
2019-10-01,1.09
2019-11-01,1.48
2019-12-01,1.4
2020-01-01,1.48
2020-02-01,2.69
