"Date","TP10J08"
1998-02-01,3.66
1998-03-01,3.72
1998-04-01,3.76
1998-05-01,3.75
1998-06-01,3.72
1998-07-01,3.76
1998-08-01,3.8
1998-09-01,3.68
1998-10-01,3.63
1998-11-01,3.78
1998-12-01,3.81
1999-01-01,3.82
1999-02-01,3.81
1999-03-01,3.92
1999-04-01,3.92
1999-05-01,3.87
1999-06-01,3.95
1999-07-01,4.01
1999-08-01,4.03
1999-09-01,4.06
1999-10-01,4.13
1999-11-01,4.11
1999-12-01,4.26
2000-01-01,4.37
2000-02-01,4.31
2000-03-01,4.17
2000-04-01,4
2000-05-01,4.18
2000-06-01,4.11
2000-07-01,4.06
2000-08-01,4.03
2000-09-01,4
2000-10-01,3.92
2000-11-01,3.87
2000-12-01,3.77
2001-01-01,3.49
2001-02-01,3.35
2001-03-01,3.23
2001-04-01,3.23
2001-05-01,3.09
2001-06-01,3.07
2001-07-01,3.22
2001-08-01,3.18
2001-09-01,3.03
2001-10-01,2.89
2001-11-01,3.04
2001-12-01,3.39
2002-01-01,3.29
2002-02-01,3.09
2002-03-01,3.12
2002-04-01,2.88
2002-05-01,2.75
2002-06-01,2.72
2002-07-01,2.51
2002-08-01,2.11
2002-09-01,1.8
2002-10-01,1.9
2002-11-01,1.99
2002-12-01,1.88
2003-01-01,1.64
2003-02-01,1.22
2003-03-01,1.03
2003-04-01,1.26
2003-05-01,1.08
2003-06-01,0.79
2003-07-01,1.1
2003-08-01,1.27
2003-09-01,1.08
2003-10-01,0.92
2003-11-01,0.99
2003-12-01,0.96
2004-01-01,0.79
2004-02-01,0.52
2004-03-01,0.14
2004-04-01,0.59
2004-05-01,0.88
2004-06-01,0.94
2004-07-01,0.82
2004-08-01,0.64
2004-09-01,0.65
2004-10-01,0.51
2004-11-01,0.47
2004-12-01,0.53
2005-01-01,0.84
2005-02-01,0.81
2005-03-01,0.87
2005-04-01,0.77
2005-05-01,0.93
2005-06-01,1.17
2005-07-01,1.49
2005-08-01,1.45
2005-09-01,0.92
2005-10-01,1.25
2005-11-01,1.86
2005-12-01,2.23
2006-01-01,1.98
2006-02-01,1.84
2006-03-01,1.89
2006-04-01,1.9
2006-05-01,1.93
2006-06-01,2.31
2006-07-01,2.5
2006-08-01,2.42
2006-09-01,2.87
2006-10-01,3.3
2006-11-01,3.33
2006-12-01,2.61
2007-01-01,2.69
2007-02-01,2.37
2007-03-01,1.79
2007-04-01,1.76
2007-05-01,2.3
2007-06-01,3.27
2007-07-01,4.01
2007-08-01,4.57
2007-09-01,3.97
2007-10-01,3.14
2007-11-01,0.67
2007-12-01,0.72
