"Date","TP10L18"
2008-08-01,1.672
2008-09-01,1.844
2008-10-01,2.736
2008-11-01,2.869
2008-12-01,2.155
2009-01-01,1.998
2009-02-01,1.863
2009-03-01,1.801
2009-04-01,1.585
2009-05-01,1.698
2009-06-01,1.835
2009-07-01,1.801
2009-08-01,1.764
2009-09-01,1.585
2009-10-01,1.409
2009-11-01,1.177
2009-12-01,1.236
2010-01-01,1.216
2010-02-01,1.234
2010-03-01,1.296
2010-04-01,1.26
2010-05-01,1.059
2010-06-01,1.028
2010-07-01,0.981
2010-08-01,0.737
2010-09-01,0.613
2010-10-01,0.211
2010-11-01,0.292
2010-12-01,0.665
2011-01-01,0.583
2011-02-01,0.695
2011-03-01,0.412
2011-04-01,0.308
2011-05-01,0.167
2011-06-01,0.114
2011-07-01,-0.041
2011-08-01,-0.445
2011-09-01,-0.413
2011-10-01,-0.26
2011-11-01,-0.566
2011-12-01,-0.622
2012-01-01,-0.745
2012-02-01,-0.981
2012-03-01,-0.93
2012-04-01,-0.998
2012-05-01,-1.061
2012-06-01,-0.999
2012-07-01,-1.095
2012-08-01,-1.161
2012-09-01,-1.44
2012-10-01,-1.486
2012-11-01,-1.456
2012-12-01,-1.507
2013-01-01,-1.513
2013-02-01,-1.648
2013-03-01,-1.705
2013-04-01,-1.632
2013-05-01,-1.312
2013-06-01,-0.698
2013-07-01,-0.587
2013-08-01,-0.53
2013-09-01,-0.444
2013-10-01,-0.733
2013-11-01,-0.761
2013-12-01,-0.553
2014-01-01,-0.637
2014-02-01,-0.826
2014-03-01,-0.749
2014-04-01,-0.66
2014-05-01,-0.816
2014-06-01,-0.789
2014-07-01,-0.775
2014-08-01,-0.696
2014-09-01,-0.391
2014-10-01,-0.424
2014-11-01,-0.397
2014-12-01,-0.075
2015-01-01,-0.27
2015-02-01,-0.511
2015-03-01,-0.581
2015-04-01,-0.882
2015-05-01,-0.713
2015-06-01,-0.568
2015-07-01,-0.447
2015-08-01,-0.115
2015-09-01,-0.056
2015-10-01,-0.205
2015-11-01,-0.073
2015-12-01,-0.02
2016-01-01,-0.162
2016-02-01,-0.383
2016-03-01,-0.754
2016-04-01,-0.933
2016-05-01,-0.943
2016-06-01,-0.966
2016-07-01,-0.867
2016-08-01,-0.641
2016-09-01,-0.734
2016-10-01,-1.004
2016-11-01,-0.865
2016-12-01,-0.913
2017-01-01,-1.231
2017-02-01,-1.442
2017-03-01,-1.231
2017-04-01,-1.078
2017-05-01,-0.699
2017-06-01,-0.382
2017-07-01,-0.15
2017-08-01,-0.298
2017-09-01,-0.638
2017-10-01,-0.733
2017-11-01,-0.654
2017-12-01,-0.492
2018-01-01,-1.24
2018-02-01,-2.026
2018-03-01,-2.249
2018-04-01,-2.139
2018-05-01,-2.619
2018-06-01,-3.289
