"Date","TP30F41"
2011-02-01,1.996
2011-03-01,1.89
2011-04-01,1.765
2011-05-01,1.74
2011-06-01,1.762
2011-07-01,1.599
2011-08-01,1.074
2011-09-01,1.001
2011-10-01,0.967
2011-11-01,0.764
2011-12-01,0.761
2012-01-01,0.722
2012-02-01,0.667
2012-03-01,0.793
2012-04-01,0.721
2012-05-01,0.6
2012-06-01,0.426
2012-07-01,0.325
2012-08-01,0.394
2012-09-01,0.36
2012-10-01,0.331
2012-11-01,0.274
2012-12-01,0.253
2013-01-01,0.402
2013-02-01,0.481
2013-03-01,0.513
2013-04-01,0.378
2013-05-01,0.618
2013-06-01,1.114
2013-07-01,1.256
2013-08-01,1.351
2013-09-01,1.426
2013-10-01,1.301
2013-11-01,1.429
2013-12-01,1.528
2014-01-01,1.359
2014-02-01,1.329
2014-03-01,1.261
2014-04-01,1.159
2014-05-01,1.012
2014-06-01,1.034
2014-07-01,0.905
2014-08-01,0.834
2014-09-01,0.992
2014-10-01,0.901
2014-11-01,0.926
2014-12-01,0.837
2015-01-01,0.617
2015-02-01,0.67
2015-03-01,0.684
2015-04-01,0.604
2015-05-01,0.904
2015-06-01,1.067
2015-07-01,1.047
2015-08-01,1.033
2015-09-01,1.199
2015-10-01,1.17
2015-11-01,1.215
2015-12-01,1.225
2016-01-01,1.227
2016-02-01,1.071
2016-03-01,0.98
2016-04-01,0.847
2016-05-01,0.851
2016-06-01,0.806
2016-07-01,0.61
2016-08-01,0.612
2016-09-01,0.632
2016-10-01,0.673
2016-11-01,0.847
2016-12-01,1.021
2017-01-01,0.894
2017-02-01,0.891
2017-03-01,0.925
2017-04-01,0.84
2017-05-01,0.912
2017-06-01,0.864
2017-07-01,0.945
2017-08-01,0.864
2017-09-01,0.792
2017-10-01,0.865
2017-11-01,0.802
2017-12-01,0.742
2018-01-01,0.74
2018-02-01,0.918
2018-03-01,0.911
2018-04-01,0.849
2018-05-01,0.912
2018-06-01,0.88
2018-07-01,0.841
2018-08-01,0.89
2018-09-01,0.984
2018-10-01,1.192
2018-11-01,1.277
2018-12-01,1.163
2019-01-01,1.151
2019-02-01,1.056
2019-03-01,0.969
2019-04-01,0.905
2019-05-01,0.844
2019-06-01,0.703
2019-07-01,0.67
2019-08-01,0.383
2019-09-01,0.421
2019-10-01,0.471
2019-11-01,0.465
2019-12-01,0.448
2020-01-01,0.36
2020-02-01,0.193
2020-03-01,0.173
2020-04-01,-0.104
2020-05-01,-0.098
2020-06-01,-0.113
2020-07-01,-0.362
