"Date","TY1MCD"
2021-04-01,0.04
2021-05-01,0.01
2021-06-01,0.01
2021-07-01,0.05
2021-08-01,0.05
2021-09-01,0.03
2021-10-01,0.07
2021-11-01,0.07
2021-12-01,0.06
2022-01-01,0.11
2022-02-01,0.03
2022-03-01,0.03
2022-04-01,0.06
2022-05-01,0.17
2022-06-01,0.37
2022-07-01,1.28
2022-08-01,2.22
2022-09-01,2.4
2022-10-01,2.79
2022-11-01,3.73
2022-12-01,4.07
2023-01-01,4.12
2023-02-01,4.58
2023-03-01,4.65
2023-04-01,4.65
2023-05-01,4.74
2023-06-01,4.35
2023-07-01,5.24
2023-08-01,5.24
2023-09-01,5.52
2023-10-01,5.55
2023-11-01,5.55
